STATE,NAME,geo_type,transportation_type,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24
1,Alabama,sub-region,transit,United States,100.0,105.66,105.66,106.8,121.02,123.91,102.89,112.84,101.98,106.58,105.51,127.41,123.85,93.68,97.2,98.71,101.04,106.58,122.78,121.21,99.18,102.93,106.48,111.17,117.84,121.43,127.16,104.72,116.87,102.49,109.5,120.14,138.92,134.14,102.17,117.34,113.85,110.98,110.79,137.98,140.12,108.02,109.82,116.68,115.8,119.79,132.69,141.69,113.75,111.14,116.74,106.67,120.3,143.46,156.01,108.21,119.73,120.83,117.12,124.39,129.39,139.3,106.92,105.13,100.03,93.83,90.31,98.24,83.95,64.95,77.72,79.11,76.94,80.24,82.28,77.56,67.72,76.49,69.89,73.41,74.48,77.12,70.04,61.26,70.99,64.66,69.95,77.16,71.33,72.69,49.65,69.95,74.48,71.9,79.89,86.47,86.38,62.02,89.3,81.59,78.16,78.79,89.96,88.8,70.04,86.56,85.78,84.05,93.93,104.69,108.34,88.17,97.92,98.02,98.87,100.35,102.39,110.76,86.78,89.77,74.98,102.52,108.12,118.34,114.88,97.51,102.17,106.64,109.13,116.21,137.29,133.79,109.13,113.37,104.72,109.19,117.78,127.28,134.39,114.85,109.69,111.93,121.37,120.86,132.06,148.17,105.25,116.55,117.65,116.46,129.48,146.85,153.27,114.03,122.47,114.1,122.66,125.71,149.84,160.16,116.05,122.62,115.73,121.96,125.46,144.21,156.54,127.44,127.34,119.92,120.39,134.24,145.31,124.1,125.49,124.23,119.89,122.59,125.55,145.66,159.09,116.8,125.33,120.01,119.82,121.77,140.12,159.66,119.51,117.18,125.39,123.03,127.38,135.15,145.15,116.05,118.47,113.4,113.56,123.79,132.44,142.7,114.69,117.9,118.72,119.19,120.7,138.14,147.07,116.68,117.94,120.39,120.17,125.87,141.0,143.17,117.94,121.18,119.45,115.39,118.94,137.29,130.37,106.26,103.05,102.74,113.22,110.45,122.18,116.83,95.85,108.94,114.19,118.16,116.83,145.22,132.6,115.36,128.41,118.94,109.94,120.11,131.18,136.91,103.56,106.1,96.85,104.06,127.94,149.09,149.72,127.85,130.08,122.97,127.19,121.99,140.72,136.6,115.42,124.17,115.39,113.69,121.3,133.64,139.96,104.03,111.71,116.02,113.53,125.3,128.54,128.1,105.1,116.17,110.29,118.72,114.57,134.99,133.45,108.24,109.38,101.51,112.59,117.37,128.92,115.23
2,Alaska,sub-region,transit,United States,100.0,87.49,84.6,85.37,90.95,84.02,76.52,67.47,92.88,97.21,81.23,86.33,85.18,64.97,96.05,91.82,97.31,80.56,101.73,88.45,81.04,86.24,86.24,116.17,97.5,100.96,94.8,74.69,96.34,90.76,93.26,104.52,108.37,92.11,75.84,70.74,90.38,102.41,101.44,89.32,87.01,78.15,89.61,100.19,96.25,96.82,102.41,99.23,77.77,90.38,92.49,96.44,86.62,117.81,99.52,84.99,109.72,105.2,87.97,93.07,94.23,75.36,61.02,63.81,66.12,51.59,45.33,45.14,46.29,45.24,42.73,48.12,39.27,41.77,47.16,49.18,37.73,38.59,45.72,38.4,48.6,41.77,35.42,40.62,43.21,41.1,41.67,35.9,36.57,36.09,33.69,30.13,37.92,29.74,34.26,40.33,34.55,35.8,35.71,41.0,35.51,39.08,39.85,48.22,42.64,42.83,43.12,51.68,40.33,43.12,45.52,46.2,46.1,45.91,48.22,46.68,47.74,49.18,39.65,39.08,39.36,50.05,48.03,52.74,57.46,48.41,54.28,45.24,51.01,46.01,56.02,49.37,44.47,49.18,50.82,49.47,55.05,55.05,54.38,52.65,86.14,56.88,66.51,67.85,66.03,71.32,61.41,67.85,75.55,77.09,80.75,85.18,84.12,72.57,75.84,81.04,69.78,81.33,78.92,66.03,65.16,73.34,70.36,70.55,82.0,79.31,75.55,64.0,67.56,70.45,78.25,77.67,80.27,60.25,62.66,82.48,73.72,77.77,82.1,77.19,80.65,75.65,86.91,80.37,88.35,79.6,76.32,71.99,66.41,80.08,90.57,99.62,79.11,82.87,75.55,72.86,74.78,69.01,67.37,78.73,75.07,75.94,62.37,66.79,71.32,76.9,78.44,79.11,69.97,71.03,75.84,77.29,76.03,78.63,87.3,76.9,64.49,86.91,77.09,75.94,75.17,73.44,68.82,61.5,73.92,65.26,63.33,75.94,75.17,63.14,54.57,66.41,66.7,54.57,69.3,84.5,72.57,64.0,57.07,75.46,68.43,70.93,65.26,72.47,60.06,74.98,72.09,74.59,73.34,78.73,87.87,60.92,74.98,69.59,78.92,69.78,85.27,84.31,64.0,74.88,62.75,63.33,70.84,71.9,58.9,57.75,66.89,69.87,65.54,64.49,67.08,59.19,63.43,63.81,62.75,61.69,65.16,67.66,63.91,51.68,71.61,61.89,61.5,59.48,57.27,58.04
4,Arizona,sub-region,transit,United States,100.0,105.14,102.33,100.78,106.42,94.58,79.01,94.72,99.73,105.13,99.92,105.24,92.69,73.52,98.81,100.43,102.35,102.29,107.72,95.01,73.22,98.2,100.38,100.02,99.8,109.82,100.36,77.93,96.76,100.23,106.31,105.95,112.84,98.13,83.12,100.59,104.89,104.8,104.7,111.82,93.07,87.8,105.01,109.71,103.5,101.23,110.53,102.29,83.53,104.14,105.59,105.17,106.67,119.34,104.48,83.84,103.04,98.39,89.86,85.8,84.4,80.46,66.16,82.93,69.69,56.12,58.69,56.84,50.09,41.92,53.21,51.47,50.31,50.17,48.72,44.94,41.3,48.85,43.63,42.78,42.02,42.95,41.43,37.42,43.41,42.73,41.74,43.7,43.67,39.68,31.94,43.49,39.71,42.01,40.62,44.06,41.01,37.62,42.59,42.37,42.19,44.45,45.7,41.13,37.31,44.27,45.46,45.98,44.88,49.67,45.28,40.14,48.08,46.98,46.25,47.08,51.28,47.35,39.45,41.4,38.3,51.06,49.26,54.7,51.06,44.4,53.83,54.24,54.71,53.37,61.14,56.83,51.06,55.19,58.88,57.44,57.07,60.26,56.4,50.58,55.46,56.01,55.04,54.92,59.07,56.1,51.46,58.95,57.73,59.66,60.83,61.8,60.77,54.45,61.03,59.65,60.81,57.92,62.49,57.27,47.84,58.26,59.75,56.43,56.07,60.09,55.85,49.99,55.8,55.58,53.97,55.99,55.93,47.6,45.79,57.63,52.23,53.18,52.58,55.48,51.95,43.04,51.93,54.35,52.72,54.75,56.59,52.39,47.0,55.06,54.42,54.64,53.56,57.07,52.33,47.27,54.96,56.1,56.25,54.94,58.64,54.85,47.25,57.81,56.67,55.41,52.91,57.89,55.85,49.06,55.89,54.77,56.65,56.19,60.33,57.11,53.36,59.12,59.13,61.31,60.76,63.25,62.22,53.02,59.32,60.03,58.04,59.37,63.21,60.34,52.64,61.0,60.39,63.21,63.21,70.47,63.21,55.13,57.39,63.21,61.44,64.37,64.33,66.46,54.99,61.72,60.82,68.1,69.71,75.1,70.09,61.67,67.15,67.4,66.66,67.26,70.82,68.81,61.11,68.36,62.36,64.72,67.31,71.6,67.7,55.45,65.59,64.0,67.97,67.84,72.77,68.54,57.61,66.75,67.43,68.07,67.18,73.0,69.81,58.93,68.81,65.32,68.64,65.85,73.14,70.2
5,Arkansas,sub-region,transit,United States,100.0,100.22,105.73,107.64,119.9,119.06,99.83,104.83,99.66,88.08,100.0,112.42,122.54,89.6,93.42,100.96,101.29,106.8,118.77,121.53,95.11,101.8,99.49,105.68,113.6,120.8,120.18,93.76,101.18,106.46,100.62,110.17,132.55,135.75,112.93,114.84,103.04,102.3,108.26,135.02,132.72,104.1,109.56,125.58,110.96,116.81,129.29,146.43,99.1,114.73,120.18,112.42,131.25,141.15,148.79,106.24,116.81,116.47,117.76,118.49,113.72,112.14,94.1,94.27,99.89,86.23,88.14,94.44,82.18,71.73,78.36,76.17,87.86,85.78,90.84,82.07,73.97,78.02,78.02,80.78,74.82,75.83,70.83,63.63,79.15,75.27,82.01,83.47,82.29,72.85,55.93,77.63,73.92,78.36,82.41,84.15,86.0,66.72,87.46,87.58,71.67,93.37,90.44,84.32,81.0,82.97,81.51,89.6,89.26,104.78,108.88,87.18,93.59,93.31,92.64,97.19,100.51,105.51,88.98,75.72,69.81,100.28,102.42,103.26,92.58,88.81,97.92,99.44,109.27,110.01,124.34,122.71,107.31,104.05,113.43,103.37,108.26,126.03,129.4,104.5,107.48,107.08,116.47,118.44,144.63,135.86,113.49,105.23,116.86,109.67,124.06,145.14,140.13,119.51,116.02,116.25,119.73,125.07,134.51,136.26,105.23,120.8,124.62,130.35,131.98,141.37,134.68,112.76,114.95,131.87,130.24,140.98,140.47,124.56,117.14,129.17,129.62,121.47,121.47,143.45,142.89,121.14,119.17,116.3,122.54,123.22,147.89,142.21,111.35,127.66,119.96,123.16,116.53,141.43,143.96,118.77,120.01,115.29,120.01,119.45,129.06,133.5,113.38,119.34,122.88,120.12,132.21,140.64,138.73,112.76,120.57,110.91,123.95,128.05,145.53,132.1,114.78,121.81,118.04,127.6,122.26,138.34,141.2,117.59,116.25,109.67,110.06,98.03,126.36,126.81,98.88,101.97,105.96,105.4,117.31,144.63,134.46,119.45,119.11,119.34,111.97,102.87,126.48,136.37,101.29,98.31,113.88,119.22,127.37,148.0,139.12,118.61,120.63,109.27,106.3,114.5,131.03,135.86,112.93,106.69,109.05,103.04,115.35,121.36,130.92,99.55,103.49,111.35,109.33,121.3,135.92,130.41,111.41,102.7,105.12,111.75,115.4,129.85,134.63,102.59,107.48,109.05,103.65,108.09,124.34,108.26
6,California,sub-region,transit,United States,100.0,102.59,103.78,100.18,110.55,97.23,81.66,94.77,110.1,110.68,112.51,117.03,99.22,79.58,108.94,107.09,107.54,107.98,116.1,101.81,78.28,103.08,106.44,107.1,111.84,117.41,102.68,79.2,110.71,112.05,112.03,116.0,123.51,101.9,88.55,100.68,116.97,116.06,117.71,123.3,103.37,89.08,115.0,114.43,113.27,113.06,119.8,103.5,81.6,105.82,110.96,109.27,109.39,115.87,95.22,78.96,101.16,94.07,97.28,79.12,75.61,55.7,47.88,50.52,42.95,38.4,35.51,32.57,26.29,24.23,29.89,28.23,27.44,26.98,27.06,22.05,21.8,27.21,26.68,26.21,25.58,26.38,20.93,19.13,22.06,22.82,22.36,21.07,22.29,21.16,18.39,23.6,23.87,25.01,24.24,25.48,20.8,20.86,25.07,24.45,24.85,25.09,26.27,23.2,21.81,25.77,26.89,26.29,26.72,28.51,25.02,24.28,28.33,28.31,28.81,28.68,30.66,27.97,23.35,24.69,22.25,28.97,28.91,31.31,27.82,25.96,29.87,29.74,31.15,31.07,33.86,30.25,28.66,31.2,35.2,35.2,34.68,36.55,33.09,28.97,33.77,34.03,35.96,35.61,37.13,34.14,33.52,39.99,40.32,40.95,41.2,42.73,38.86,36.77,43.27,43.74,43.55,43.34,47.1,39.92,35.33,46.1,45.81,45.99,44.52,47.25,41.79,36.68,45.33,45.2,45.84,45.76,44.26,33.81,36.7,45.52,45.18,45.51,45.67,48.03,41.39,38.59,45.38,44.19,43.65,43.11,45.19,39.6,36.33,42.46,43.59,43.33,41.78,45.06,39.71,37.35,44.06,44.0,44.62,43.83,46.66,41.18,38.07,45.94,44.99,45.22,45.58,47.26,41.48,38.68,46.16,45.6,45.67,45.51,49.04,43.82,39.19,45.95,45.92,46.3,45.78,47.95,43.51,39.53,45.01,44.43,44.94,44.54,48.6,43.76,39.83,44.89,44.91,45.69,46.85,52.79,46.11,40.46,42.35,46.19,44.2,43.99,47.13,42.62,37.3,45.0,44.42,47.3,49.16,52.88,48.59,41.48,48.41,46.99,47.04,47.14,51.89,47.42,41.95,48.31,47.75,47.35,47.85,51.77,47.67,42.34,47.66,46.71,47.57,47.08,51.74,48.28,43.0,48.03,47.36,48.05,48.5,53.91,49.18,43.26,47.99,47.51,46.72,46.69,51.79,47.54
8,Colorado,sub-region,transit,United States,100.0,101.57,98.34,99.32,109.81,92.68,76.32,96.59,105.53,104.9,104.42,110.22,97.26,75.91,98.21,98.75,99.71,101.09,104.25,92.16,73.84,91.39,93.61,98.13,107.07,101.71,96.42,72.11,108.07,113.32,113.34,119.64,118.41,101.43,84.31,101.35,100.94,101.94,108.45,113.52,101.39,79.25,99.9,91.71,101.34,104.0,112.61,98.22,77.91,101.25,105.96,108.37,106.19,115.59,100.63,79.34,103.53,97.92,98.79,87.75,77.76,66.72,53.83,61.15,50.46,48.47,35.04,35.06,35.86,29.41,38.27,35.35,34.84,29.72,28.05,25.79,23.75,29.17,30.18,30.72,24.88,27.05,26.62,25.73,30.73,30.22,29.95,29.13,31.98,28.76,18.61,24.66,28.26,28.46,23.18,28.32,25.43,28.28,35.84,33.67,33.11,32.06,32.91,29.27,29.66,36.87,35.07,36.41,34.64,37.35,31.33,32.23,37.31,37.6,37.24,38.58,38.77,35.59,30.79,31.77,30.18,42.0,40.93,41.58,39.96,38.26,45.63,44.17,44.23,43.13,47.81,42.65,33.77,40.35,48.09,47.2,49.69,52.58,45.38,42.1,50.72,50.5,51.51,49.71,52.47,46.81,44.76,53.27,50.3,56.22,55.23,58.96,52.09,47.91,57.57,56.67,56.66,56.37,57.99,56.75,45.64,60.99,60.49,60.21,61.57,63.34,58.34,56.02,64.7,64.45,62.0,61.88,60.26,48.91,50.64,63.02,60.51,61.6,62.82,65.87,59.23,54.6,63.08,59.84,60.17,61.61,64.23,56.81,51.89,64.97,61.11,59.73,61.41,62.77,57.41,51.58,62.55,60.89,61.54,62.61,66.45,58.9,54.66,63.91,63.88,66.48,63.77,70.22,61.48,55.38,64.48,63.59,66.82,67.83,71.48,64.81,58.23,66.86,68.59,66.3,71.56,74.59,66.51,58.97,67.55,66.86,63.89,65.96,68.84,61.31,56.02,64.95,64.28,66.21,69.13,73.24,67.39,58.69,57.71,51.04,53.85,61.2,65.42,63.61,53.99,64.64,64.71,63.3,70.62,77.74,70.74,61.85,68.24,64.83,66.75,66.3,72.49,66.71,54.34,62.2,59.87,57.69,65.55,66.48,62.6,56.15,60.51,59.84,60.26,64.84,69.91,64.64,53.67,61.12,59.99,57.64,62.43,68.35,62.06,50.75,58.85,58.0,59.04,59.11,60.63,59.0
9,Connecticut,sub-region,transit,United States,100.0,102.44,106.53,103.2,112.21,92.6,84.86,106.68,110.28,117.36,110.54,119.87,99.96,88.68,110.71,107.24,106.93,108.09,118.34,99.66,85.0,108.87,109.11,107.37,103.48,114.2,106.08,86.61,101.34,106.67,105.23,117.63,128.43,108.01,95.29,114.85,112.66,113.79,118.07,127.91,109.17,95.98,112.9,107.31,105.1,110.85,123.4,108.46,93.61,110.21,107.59,109.64,113.13,120.18,107.07,91.13,108.97,104.62,94.05,89.13,84.85,77.24,63.24,65.37,57.32,54.6,47.78,48.05,44.75,39.42,38.9,38.37,35.61,37.98,39.9,34.31,28.69,35.25,33.09,35.22,31.61,32.64,33.21,31.91,36.65,34.29,33.36,33.11,37.71,36.46,28.59,33.54,36.87,37.12,35.8,36.1,33.17,33.88,38.1,33.57,35.95,35.99,35.43,41.1,31.01,37.11,40.58,39.71,36.92,41.78,44.97,43.33,43.61,45.09,40.38,43.47,41.08,42.05,38.86,39.3,34.14,47.73,46.27,51.37,50.53,43.85,47.45,49.66,49.66,54.22,56.54,46.54,50.05,52.19,57.21,56.05,54.27,58.4,58.6,50.39,58.57,57.06,59.15,64.04,62.19,68.09,59.45,70.84,68.4,69.63,64.67,73.7,74.52,62.83,74.08,75.14,74.27,77.59,83.08,78.1,65.33,82.1,81.74,79.57,82.3,86.41,74.57,67.74,79.41,78.16,79.33,88.63,85.3,75.64,71.96,85.95,80.72,81.64,87.66,78.51,80.51,74.64,84.38,83.54,84.79,84.42,85.78,90.09,73.95,85.48,83.97,78.71,79.52,86.35,83.73,73.88,88.65,86.68,86.94,85.45,87.79,91.05,69.96,87.27,71.87,86.9,85.93,86.94,83.0,74.5,90.49,90.27,88.03,88.42,96.48,92.84,70.84,93.71,97.19,88.55,95.75,100.02,91.59,79.47,98.21,92.03,92.05,86.61,98.86,82.83,79.87,95.31,97.1,89.02,98.18,105.01,97.11,80.15,91.67,95.17,94.69,88.04,100.24,91.47,75.67,88.2,86.87,92.63,97.66,99.45,94.79,76.09,90.52,90.95,91.47,92.37,101.81,100.02,81.65,95.6,87.65,90.63,96.04,92.4,95.69,78.07,84.62,81.48,81.8,83.3,89.53,88.76,72.89,75.33,73.21,83.96,78.03,79.57,80.68,70.57,78.35,74.15,77.96,77.93,86.43,81.37
10,Delaware,sub-region,transit,United States,100.0,88.54,96.74,99.19,101.99,72.35,58.46,85.77,89.84,90.08,89.68,101.51,77.57,58.81,95.04,84.26,94.96,94.37,102.59,79.11,60.67,112.53,98.36,95.07,98.6,102.21,81.94,69.65,100.19,97.22,100.27,103.69,116.06,94.77,70.86,105.31,100.05,100.78,99.06,116.68,95.15,74.77,103.88,104.42,99.65,101.19,107.52,93.4,72.51,108.63,103.4,105.9,104.34,113.56,96.15,71.51,103.58,96.87,96.31,89.0,91.83,75.9,56.42,74.31,74.47,73.85,62.99,61.7,36.85,35.15,41.11,39.68,33.88,37.71,37.17,28.17,27.76,36.9,37.52,33.69,30.19,32.78,30.57,28.03,38.98,33.85,30.67,34.02,32.8,32.75,22.8,29.95,34.8,32.75,29.84,29.14,27.49,25.53,33.64,30.11,32.48,30.78,29.89,28.98,30.24,33.42,30.38,31.59,34.74,37.49,33.77,30.05,36.6,35.23,30.05,37.41,34.12,34.66,28.6,32.37,25.88,37.76,34.74,39.46,39.06,35.77,40.78,42.05,40.73,42.88,43.99,44.26,39.22,39.35,44.31,46.42,47.36,49.46,48.17,45.12,51.08,52.56,55.5,57.22,62.35,63.02,52.7,63.5,68.92,65.44,60.65,75.53,64.64,56.06,65.26,63.67,61.54,64.31,68.46,67.33,53.72,69.97,70.7,71.56,70.08,80.03,72.29,65.96,72.45,72.78,70.08,75.18,80.92,60.49,60.59,65.5,71.86,70.24,69.81,64.66,74.61,60.19,73.29,76.5,71.51,71.94,82.35,75.58,65.69,75.74,70.03,74.23,76.93,79.03,77.65,60.59,76.85,76.98,77.22,77.74,79.14,76.01,60.08,69.87,61.21,76.9,64.39,79.22,73.53,61.99,77.3,71.7,75.31,72.05,78.46,75.23,58.76,80.54,81.32,82.78,78.27,83.21,73.72,62.35,77.95,76.79,69.08,73.1,80.59,70.38,64.37,70.24,71.94,71.86,71.13,86.9,82.29,61.51,69.87,80.54,69.22,63.69,78.63,71.19,56.44,69.95,70.57,68.49,75.23,79.97,78.01,57.92,71.81,69.49,69.51,75.66,84.61,71.0,62.59,71.89,66.98,70.97,75.8,80.4,73.64,54.8,67.76,69.6,72.26,72.61,81.51,71.27,56.44,62.51,68.68,70.84,70.4,72.16,73.8,54.37,68.81,70.86,74.42,78.73,78.25,71.59
11,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Florida,sub-region,transit,United States,100.0,98.92,99.26,101.96,101.62,93.92,77.52,90.59,95.49,89.23,93.03,102.55,95.04,73.77,95.59,95.53,94.68,98.15,104.37,93.12,77.3,96.26,97.86,100.79,103.57,102.36,94.67,81.41,100.47,101.18,102.49,104.47,108.91,97.3,84.67,103.07,104.52,103.52,104.25,105.87,97.92,83.03,101.59,101.23,100.43,100.34,105.93,97.12,81.86,100.1,100.69,101.48,102.26,104.92,96.3,79.11,99.72,99.07,97.67,91.82,92.27,81.6,68.65,74.1,66.16,60.42,55.47,53.56,43.62,37.3,43.57,42.29,41.0,39.45,40.76,35.61,31.88,37.85,36.74,35.86,34.94,33.59,31.24,25.74,32.7,33.44,33.6,34.52,34.37,30.68,25.62,34.12,33.73,32.91,32.15,35.1,31.5,29.92,35.46,36.79,35.26,36.25,35.51,35.94,30.73,38.45,38.32,38.77,36.26,41.51,38.95,36.53,44.44,45.34,44.89,43.92,46.9,44.29,33.74,41.64,33.08,45.38,44.97,45.54,45.58,42.05,47.47,49.48,50.32,50.3,55.29,53.24,42.11,42.55,53.1,54.26,54.88,57.93,55.75,46.29,54.88,55.4,52.68,52.7,58.03,52.82,47.55,60.43,61.06,62.4,62.93,66.06,61.4,52.98,64.06,63.56,61.82,61.5,65.31,62.79,51.57,65.22,64.92,64.22,64.53,66.88,62.72,53.74,62.46,62.9,63.33,62.35,62.4,51.62,49.16,60.64,61.29,60.23,61.53,63.56,58.38,51.54,62.26,60.72,58.54,60.52,61.98,55.26,50.75,59.24,57.74,56.32,58.0,63.08,58.69,51.4,60.62,59.59,60.87,61.68,63.0,52.46,44.31,60.38,60.33,60.28,60.75,65.31,60.68,51.97,62.57,60.25,60.98,63.07,66.48,60.17,53.07,61.37,62.95,59.85,61.68,66.3,60.84,52.01,62.58,61.96,62.61,62.05,66.07,60.62,50.17,59.75,61.28,60.67,61.84,68.68,63.12,53.62,55.97,61.42,58.77,60.8,64.85,54.97,48.54,61.07,60.87,64.33,69.39,72.64,66.93,56.15,63.78,65.78,64.39,63.73,69.38,65.48,55.32,63.99,63.08,61.82,62.53,66.22,59.79,52.51,63.5,64.33,66.28,66.14,69.29,63.32,56.55,65.75,63.82,64.54,64.15,67.08,64.24,54.85,62.83,62.62,58.64,62.46,69.54,62.52
