 ,Midwest,Northeast,South,West,class
2020-02-19,100.0,100.0,100.0,100.0,Airports
2020-02-20,98.98543863884126,98.78485045944747,99.06671121610127,99.54223256570053,Airports
2020-02-21,98.65314851038164,97.1006148204333,98.90037874093562,99.02379418602746,Airports
2020-02-22,98.57321186205743,97.07837125340633,99.06757209896145,99.01889552500714,Airports
2020-02-23,100.00205329510928,97.7204891780951,100.31433813452605,100.06493200601389,Airports
2020-02-24,100.17300451435457,96.39152304210616,99.36919921849464,99.02923578458315,Airports
2020-02-25,98.50320074224292,94.32505515219191,98.3177493772784,97.10628013900302,Airports
2020-02-26,97.56401868355785,94.0638044037657,97.96662122050041,96.52152329393792,Airports
2020-02-27,98.06811837292382,93.83786624740786,98.42883451231563,96.74192998379691,Airports
2020-02-28,97.70682279686531,94.13088927072043,98.50091724348759,97.15971180246198,Airports
2020-02-29,98.73533391546361,93.46918644324857,98.78860445008635,96.67564209331783,Airports
2020-03-01,98.57893820961424,93.20772276954136,98.70489513395673,95.92821677882579,Airports
2020-03-02,97.18797792529585,92.55844187455986,97.95485499858437,94.90751284013072,Airports
2020-03-03,96.78352778802439,92.38364801604482,96.53380986461636,93.87089257670638,Airports
2020-03-04,96.3596675128071,91.76348193878864,95.87389338396757,92.54479238564923,Airports
2020-03-05,95.31890709426484,90.9187678987802,94.98611037015804,90.96753825427601,Airports
2020-03-06,94.68474178278734,89.57566035130537,93.91855608034312,89.58746904906936,Airports
2020-03-07,94.71911566809725,89.52998805180096,93.83625839268052,89.40423504069803,Airports
2020-03-08,93.85369564678501,88.41081208166425,92.58636839413893,88.1858167107495,Airports
2020-03-09,92.30793845807506,86.55273735678267,91.65609053747775,87.03222014428414,Airports
2020-03-10,91.23869612043784,84.53765640123234,91.17228282629968,86.09811891512139,Airports
2020-03-11,90.4008092640715,82.81258862182719,89.89890083573287,85.60003048274248,Airports
2020-03-12,87.93618499775047,81.02977691848454,88.34578541811791,83.51346602127889,Airports
2020-03-13,85.73963623743946,78.69215776827143,86.17448610948476,81.12772400774581,Airports
2020-03-14,84.32915535631113,76.50755903297645,84.53527520659114,80.38012200597319,Airports
2020-03-15,81.90379302316111,74.2200156410725,82.1865308286967,78.43401518214807,Airports
2020-03-16,78.60458546960011,71.12479884586682,78.75144049902329,75.66048472956096,Airports
2020-03-17,75.79167345332237,68.9871909181809,75.67713171541965,73.34822697377112,Airports
2020-03-18,71.11379409104481,65.50646146370259,71.19947878940793,69.13023783012892,Airports
2020-03-19,65.76307119809871,60.01892954275353,65.24864917144814,64.08352995612019,Airports
2020-03-20,59.96538308553916,54.519692085535056,59.28254816881149,58.79041717591843,Airports
2020-03-21,55.33301377048144,50.24930483504535,54.73262831004394,53.92792350055578,Airports
2020-03-22,50.32489855468383,44.99459554885619,48.67973821557357,48.14473297550368,Airports
2020-03-23,46.07849966459208,41.38605390012899,43.82900197577951,43.36959068859165,Airports
2020-03-24,42.89137813832316,38.003232840662676,40.16112312522519,39.77655162859815,Airports
2020-03-25,40.7857125733926,35.29853809419676,37.35107615697676,37.446087511945464,Airports
2020-03-26,38.31464459907443,33.08343118600026,34.76683242101565,35.17035245757962,Airports
2020-03-27,35.85949135087665,30.918002558838364,32.43814585537004,32.66540970356954,Airports
2020-03-28,33.4485963272466,28.841116783590003,29.851179924685127,30.43206071790474,Airports
2020-03-29,31.562763330242504,26.44242827858968,27.98501516778844,28.385539393155085,Airports
2020-03-30,30.175179867731483,24.60073145100418,26.55035967076461,26.93069355058595,Airports
2020-03-31,29.192807263693986,23.54842899409616,25.60769756362122,25.89448254349687,Airports
2020-04-01,27.962564582171325,22.133253748040055,24.991453826574094,24.47897752628283,Airports
2020-04-02,27.543328550358083,21.021708669578167,24.491073067367466,23.36750451219084,Airports
2020-04-03,26.67142558858903,20.10282772234572,23.79630366468459,22.709663915821384,Airports
2020-04-04,26.34447011714135,19.34056663514523,23.093313068960324,21.87724538631432,Airports
2020-04-05,25.458212336121683,18.64590997900481,22.43980433164405,21.3160666517023,Airports
2020-04-06,24.84138337606091,18.09341313990759,22.08272139743199,20.901413942016752,Airports
2020-04-07,24.012533169671592,17.354492549425814,21.465836432832365,20.143497318346302,Airports
2020-04-08,23.452247758158407,16.831383537836878,20.883731906126187,19.636798881045962,Airports
2020-04-09,23.025151614781226,16.39658777948832,20.365747145268216,19.49702266303794,Airports
2020-04-10,22.803674511643862,15.96582713764402,19.94140036368667,19.215516954889456,Airports
2020-04-11,22.401935449026343,15.652548638906232,19.54340126521949,19.010765477252086,Airports
2020-04-12,21.804442069388383,15.32560569436168,19.09314481896524,18.438824611502085,Airports
2020-04-13,21.543532347578655,15.242398945639938,18.88715369572705,18.15024952884713,Airports
2020-04-14,21.33817649341117,15.25073206450433,19.016911827389848,18.055104151849587,Airports
2020-04-15,21.189275658663824,15.285260650805963,18.90434746238384,18.05287216832904,Airports
2020-04-16,21.100260745787818,15.193904477405635,18.890883334614866,17.96963309017169,Airports
2020-04-17,21.10790616951354,15.173291794049337,18.93130503738701,18.1093023523656,Airports
2020-04-18,21.227200865292733,15.129333288750571,19.266920498434885,18.01373744556397,Airports
2020-04-19,21.85030742080595,15.176331958342216,19.39357396722247,18.4008319989834,Airports
2020-04-20,22.06974194901515,15.129482442453979,19.54558606009177,18.777817732829043,Airports
2020-04-21,22.2781748555768,15.058467722309778,19.63745218607867,18.89395882820685,Airports
2020-04-22,22.38036929028624,15.092253196404132,19.952570528567872,19.12675268530809,Airports
2020-04-23,22.301965514977233,15.238200477838484,19.81878140044378,19.372961493340686,Airports
2020-04-24,22.693281157057292,15.508735493729256,20.09613008913609,19.534663275582936,Airports
2020-04-25,22.697953920451898,15.519993699706037,19.840117804762492,19.66496364644295,Airports
2020-04-26,22.828603670891045,15.629296151202126,20.057961934479707,19.694041404204327,Airports
2020-04-27,22.881942728380608,15.732938709517184,20.147103606972,19.72124802982637,Airports
2020-04-28,22.785735177617212,16.076305317721477,20.106265979064407,19.6526361248438,Airports
2020-04-29,22.800329190767997,16.223516578502416,20.006176082005634,19.552585465989583,Airports
2020-04-30,23.37832006677007,16.39379059720664,20.775743507227357,19.780427730162295,Airports
2020-05-01,23.575587787275104,16.237625420813607,21.294737683520268,20.189484960381847,Airports
2020-05-02,23.766808902307705,16.271558138455326,21.95525046833834,20.523226435449008,Airports
2020-05-03,23.87407701758232,16.65295854746967,22.15819846242217,20.72360383876059,Airports
2020-05-04,24.1224974601541,16.59722080987547,22.800651416153215,20.987773725252307,Airports
2020-05-05,24.320424778824474,16.442003868087337,22.951591907351766,21.214012182942945,Airports
2020-05-06,24.387009804713834,16.385316431038152,23.34165261035361,21.477664348276573,Airports
2020-05-07,24.475188642840905,16.674854298662297,23.193590326589035,21.845795366360417,Airports
2020-05-08,24.52519892645986,17.201703746717936,23.069755485814227,21.6601772141855,Airports
2020-05-09,24.508644797576267,17.089856922883275,22.92465163010625,21.67554187885899,Airports
2020-05-10,24.494667352837816,17.110646572627033,23.222192032460182,21.723035558119687,Airports
2020-05-11,24.372656248020082,17.44465642437115,23.408864702148684,21.75173269798553,Airports
2020-05-12,24.706503712205528,17.560659167649142,23.706862717886466,22.096112216908455,Airports
2020-05-13,25.09105104629049,17.993749877009567,23.96852305553707,22.232666405250065,Airports
2020-05-14,25.17394490239571,18.055824232572895,24.338229281082786,22.151085917520817,Airports
2020-05-15,25.234527466735567,17.866109069147754,24.56630345700438,22.58308778370785,Airports
2020-05-16,25.320725269248,18.277459994507954,24.802209776226352,22.688154352964048,Airports
2020-05-17,25.59767287466878,18.233501129193144,25.105174972280196,22.95172210420131,Airports
