week,casual_dining,class,coffee,fast_casual_food,pizza,sandwiches
2,0.0,YoY Foursquare Visits - Categor,0.0,0.0,0.0,0.0
3,-11.51722093,YoY Foursquare Visits - Categor,-5.539010104,-4.084100227,-4.37369796,2.375718403
4,-14.39225006,YoY Foursquare Visits - Categor,-8.189281364,-4.66259606,-3.402128603,1.621991824
5,-10.44777417,YoY Foursquare Visits - Categor,-7.425742095,-4.269823086,-8.602007032,0.9007705763
6,-12.63963784,YoY Foursquare Visits - Categor,-7.537866799,-2.541857732,-0.1636337854,4.459045742
7,-20.76343979,YoY Foursquare Visits - Categor,-11.232054,-5.448048899,-7.539777941,-0.554975752
8,-10.05245213,YoY Foursquare Visits - Categor,-5.41924261,-6.609031796,-5.439881338,0.4843842826
9,-16.96614287,YoY Foursquare Visits - Categor,-12.80422158,-10.38713537,-11.60741086,-7.62674663
10,-16.58299286,YoY Foursquare Visits - Categor,-12.67038477,-7.681632708,-6.960605273,-5.525045475
11,-19.46633266,YoY Foursquare Visits - Categor,-17.84901916,-11.10557208,-9.080977024,-3.200724142
12,-27.94933782,YoY Foursquare Visits - Categor,-22.05280076,-18.34303332,-8.010022161,-6.621051038
13,-69.68576292,YoY Foursquare Visits - Categor,-42.10974084,-34.59378632,-15.86354291,-23.80195003
14,-75.92545971,YoY Foursquare Visits - Categor,-53.74776269,-39.43376971,-27.30983832,-28.08215107
15,-74.29734893,YoY Foursquare Visits - Categor,-53.67594268,-34.85645927,-21.60213198,-26.47553681
16,-74.31740905,YoY Foursquare Visits - Categor,-58.31266028,-36.17570705,-26.04994097,-28.8359253
17,-68.86190101,YoY Foursquare Visits - Categor,-53.83165071,-28.24156224,-18.21814388,-28.59655799
18,-70.37468527,YoY Foursquare Visits - Categor,-53.43931069,-26.30571759,-21.62786893,-27.07705914
19,-76.91314562,YoY Foursquare Visits - Categor,-50.57915153,-16.50327352,-16.67266346,-19.41509407
20,-60.27818961,YoY Foursquare Visits - Categor,-39.91959567,-22.43663681,-16.38452954,-18.30022433
21,-58.17263141,YoY Foursquare Visits - Categor,-41.15527896,-24.92873331,-17.1325825,-13.19448112
22,-55.81768904,YoY Foursquare Visits - Categor,-36.25179586,-22.19021887,-17.35809091,-8.717152042
23,-49.12603665,YoY Foursquare Visits - Categor,-45.97027671,-23.69875806,-20.49291305,-13.40949809
24,-51.66209036,YoY Foursquare Visits - Categor,-34.86640853,-20.11602753,-14.29387094,-10.08618708
25,-41.39120002,YoY Foursquare Visits - Categor,-36.66682105,-21.85981688,-17.22032017,-11.53135118
26,-36.60827862,YoY Foursquare Visits - Categor,-32.5204903,-24.59817598,-19.93831737,-9.143490193
27,-37.99601319,YoY Foursquare Visits - Categor,-29.72249264,-21.05181617,-21.87766853,-3.470395557
28,-40.94461637,YoY Foursquare Visits - Categor,-29.02063658,-21.95380102,-19.61982413,-7.37994617
29,-42.67319889,YoY Foursquare Visits - Categor,-33.07154199,-23.30338399,-20.27929743,-6.422540538
2,0.0,YoY Apptopia Usage - Categories,0.0,0.0,0.0,0.0
3,0.0,YoY Apptopia Usage - Categories,0.0,8.0,-2.0,2.0
4,4.0,YoY Apptopia Usage - Categories,0.0,20.0,-2.0,10.0
5,2.0,YoY Apptopia Usage - Categories,0.0,25.0,-1.0,13.0
6,4.0,YoY Apptopia Usage - Categories,1.0,28.0,2.0,16.0
7,4.0,YoY Apptopia Usage - Categories,-1.0,27.0,0.0,18.0
8,6.0,YoY Apptopia Usage - Categories,-2.0,25.0,-3.0,18.0
9,5.0,YoY Apptopia Usage - Categories,-2.0,26.0,-5.0,20.0
10,6.0,YoY Apptopia Usage - Categories,0.0,27.0,-6.0,39.0
11,8.0,YoY Apptopia Usage - Categories,4.0,27.0,-9.0,70.0
12,6.0,YoY Apptopia Usage - Categories,0.0,24.0,-10.0,83.0
13,9.0,YoY Apptopia Usage - Categories,-8.0,21.0,-8.0,84.0
14,12.0,YoY Apptopia Usage - Categories,-15.0,20.0,-4.0,83.0
15,17.0,YoY Apptopia Usage - Categories,-20.0,22.0,-5.0,75.0
16,22.0,YoY Apptopia Usage - Categories,-25.0,23.0,-6.0,65.0
17,30.0,YoY Apptopia Usage - Categories,-28.0,27.0,-4.0,59.0
18,35.0,YoY Apptopia Usage - Categories,-28.0,30.0,-1.0,54.0
19,39.0,YoY Apptopia Usage - Categories,-27.0,33.0,1.0,52.0
20,48.0,YoY Apptopia Usage - Categories,-24.0,35.0,1.0,62.0
21,48.0,YoY Apptopia Usage - Categories,-20.0,37.0,3.0,75.0
22,46.0,YoY Apptopia Usage - Categories,-15.0,40.0,5.0,84.0
23,45.0,YoY Apptopia Usage - Categories,-10.0,41.0,6.0,91.0
24,42.0,YoY Apptopia Usage - Categories,-11.0,42.0,5.0,97.0
25,42.0,YoY Apptopia Usage - Categories,-9.0,45.0,5.0,105.0
26,41.0,YoY Apptopia Usage - Categories,-6.0,45.0,5.0,108.0
27,40.0,YoY Apptopia Usage - Categories,-5.0,47.0,5.0,105.0
28,38.0,YoY Apptopia Usage - Categories,-7.0,48.0,4.0,105.0
