ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
WM--6SIp218cCEzqTDSAnQ,Catbird,4.0,11,,,False,"Bars, Tapas/Small Plates","bars, tapasmallplates",32.7814023,-96.7999534,US,TX,Dallas,75201
LiYys5glM0MO2A9rCkcFWA,XOXO Dining Room,3.5,147,,['delivery'],False,American (New),newamerican,32.794171,-96.791056,US,TX,Dallas,75204
ycL1qii6EpKXoLgMMboBIQ,Pecan Lodge,4.5,5090,$$,['delivery'],False,"Sandwiches, Barbeque, Southern","sandwiches, bbq, southern",32.7835884,-96.7838669,US,TX,Dallas,75226
DP1I3daE5-mKznnAeA-Q3w,The Woolworth,4.0,888,$$,"['delivery', 'restaurant_reservation']",False,"Cocktail Bars, Tapas/Small Plates, American (New)","cocktailbars, tapasmallplates, newamerican",32.781329,-96.798727,US,TX,Dallas,75204
-pvdnSkWhsHAeOC0TJleOQ,TRUE Kitchen + Kocktails,3.5,263,,"['delivery', 'pickup']",False,"Southern, Comfort Food","southern, comfortfood",32.7826,-96.79463,US,TX,Dallas,75201
geot2wZyok3s_H3l9e7Iqg,Jaxon Texas Kitchen & Beer Garden,4.0,122,$$,"['delivery', 'pickup']",False,"American (New), Beer Gardens","newamerican, beergardens",32.7786,-96.799444,US,TX,Dallas,75202
pX8jseEF57jr-xOyh3ij9w,Yardbird Southern Table & Bar,4.0,202,,"['delivery', 'pickup']",False,"Southern, Cocktail Bars, American (New)","southern, cocktailbars, newamerican",32.7909,-96.801195,US,TX,Dallas,75201
f6i2rU70xixptLYHfbtINg,CBD Provisions,4.0,1011,$$,"['delivery', 'pickup']",False,"American (Traditional), Steakhouses, Beer, Wine & Spirits","tradamerican, steak, beer_and_wine",32.780571,-96.7983932,US,TX,Dallas,75201
KSo_iNGEujNKPxy-WFZFyw,City Hall Bistro,4.5,193,$$,['delivery'],False,"Modern European, Spanish, Italian","modern_european, spanish, italian",32.7799,-96.79967,US,TX,Dallas,75202
CREIs-59rrp8OhG9VppCqA,Ellen's,4.0,2686,$$,"['delivery', 'restaurant_reservation']",False,"Southern, American (Traditional), Breakfast & Brunch","southern, tradamerican, breakfast_brunch",32.7818955295251,-96.8076125410698,US,TX,Dallas,75202
whIWTPTID5M4ooWp35dMDA,Chop House Burger,4.0,539,$$,"['delivery', 'pickup']",False,Burgers,burgers,32.7807758,-96.7993548,US,TX,Dallas,75201
Ihmg2gvybDPIUiIRcIfFmg,Royal 38,4.5,14,,,False,"American (New), Cocktail Bars","newamerican, cocktailbars",32.78948,-96.80563,US,TX,Dallas,75201
COpsoDr4gySfYDIMJ_qtEQ,Frankie's Downtown,4.0,501,$$,,False,"Sports Bars, American (Traditional), Breakfast & Brunch","sportsbars, tradamerican, breakfast_brunch",32.7804885,-96.8006992,US,TX,Dallas,75202
bB2ai7iXzB-CJFc1tcVXTw,Twisted Trompo,4.0,366,$,"['delivery', 'pickup']",False,"Mexican, Breakfast & Brunch","mexican, breakfast_brunch",32.7795635919134,-96.8013510954492,US,TX,Dallas,75202
ZqIshPGXEOFoXq71Gfum1g,Harwood Arms,4.0,6,,,False,"Fish & Chips, Whiskey Bars","fishnchips, whiskeybars",32.79495,-96.80901,US,TX,Dallas,75201
gsgAjzg_353PdHshdbcBRw,Wow Bao,1.0,2,,,False,"Food Delivery Services, Asian Fusion","fooddeliveryservices, asianfusion",32.78711,-96.79543,US,TX,Dallas,75201
Okn7XeuDEyaJTFRckC_vGQ,Otto's Coffee and Fine Foods,4.5,113,$,['delivery'],False,Cafes,cafes,32.7798649342387,-96.7999625193537,US,TX,Dallas,75202
HKEVpLN-OTU6hsXSM_SAIg,The Mitchell,4.0,112,$$,,False,"Bars, American (New)","bars, newamerican",32.7800932324671,-96.800259124982,US,TX,Dallas,75202
K6WTnxvhq8ppvj8v7TtQHA,Spice In The City Dallas,4.0,422,$$,"['delivery', 'pickup']",False,"Indian, Tex-Mex, Halal","indpak, tex-mex, halal",32.77998,-96.798,US,TX,Dallas,75201
