,ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code,transactions_
0,SlAhlIL5KAXb4136SHFkOw,Bangin Buns,4.0,5,,"['delivery', 'pickup']",False,Fast Food,hotdogs,33.975267,-118.248158,US,CA,Los Angeles,90001,"['delivery', 'pickup']"
1,spKUIFIABLaU63Ex4PEYvQ,Rays BBQ,4.5,801,$$,['delivery'],False,"Barbeque, Smokehouse, Salad","bbq, smokehouse, salad",33.986598,-118.229803,US,CA,Huntington Park,90255,['delivery']
2,hARUOlpi_buVjoU0gN2ugw,La Zona Sushi,5.0,7,,"['delivery', 'pickup']",False,Sushi Bars,sushi,33.9821249031109,-118.238637149334,US,CA,Los Angeles,90001,"['delivery', 'pickup']"
3,RYpJyi1RhScLZAYrqPMLKQ,Avila's El Ranchito Mexican Restaurant,4.5,666,$$,"['delivery', 'pickup']",False,Mexican,mexican,33.978496,-118.230545,US,CA,Huntington Park,90255,"['delivery', 'pickup']"
4,ACm6CB7VI0d-K5qNzEODhg,Lettuce Feast,4.0,206,$$,[],False,"Food Trucks, Vegan, Comfort Food","foodtrucks, vegan, comfortfood",33.97853,-118.2497,US,CA,Los Angeles,90001,
5,0pWO-0cHH0Jr6nyINqvadA,Charolitas con Amor y Queso,5.0,3,,[],False,Pop-Up Restaurants,popuprestaurants,33.96699,-118.25206,US,CA,Los Angeles,90001,
6,RVJ7CtzHbSIXySMJ7uJw9w,El Senor Taco,3.5,64,$,[],False,Mexican,mexican,33.97499,-118.24696,US,CA,Los Angeles,90001,
7,QWtzUp4zLqzjA_jxLbvDvA,Granny's Kitchen,4.0,358,$$,"['delivery', 'pickup']",False,"Soul Food, Southern","soulfood, southern",33.9930975470943,-118.256304330019,US,CA,Los Angeles,90011,"['delivery', 'pickup']"
8,uWV1r_tQ7vAWK5IELeCmmg,Birrieria Jalisco,4.5,90,$,[],False,Mexican,mexican,33.96956,-118.24735,US,CA,Los Angeles,90001,
9,iKn3cdBPI9o2KNAJ4OHvLQ,The Los Angeles Banh Mi Company,4.5,272,$,"['delivery', 'pickup']",False,"Vietnamese, Sandwiches, Coffee & Tea","vietnamese, sandwiches, coffee",33.9746224,-118.2280264,US,CA,Huntington Park,90255,"['delivery', 'pickup']"
10,2OTBRblmsfRGyPyFdOiY2g,Z's Place,4.5,90,$$,['delivery'],False,American (Traditional),tradamerican,34.007817,-118.2198791,US,CA,Vernon,90058,['delivery']
11,6rCY1MjoIvTiv2cD5M96Yw,The Green Olive,4.0,89,$$,"['delivery', 'pickup']",False,Mediterranean,mediterranean,34.0095276,-118.2195839,US,CA,Los Angeles,90058,"['delivery', 'pickup']"
12,f-qcXHRedFf-p3tZEAojtw,Boys Burgers,4.0,63,$,['delivery'],False,Burgers,burgers,33.97441,-118.24087,US,CA,Los Angeles,90001,['delivery']
13,lxcQvJy1SAHE-gWhyFMN-w,Mariscos Mi Lindo Nayarit,3.5,209,$$,[],False,"Mexican, Seafood","mexican, seafood",33.97452,-118.25672,US,CA,Los Angeles,90001,
14,9ZxnEb6IaQVJ1nMiaUQF-A,The Garbage Truck,3.5,79,$,[],False,"Food Trucks, Burgers, Hot Dogs","foodtrucks, burgers, hotdog",33.97908,-118.25009,US,CA,Los Angeles,90001,
15,b5oc2ewFNaoDBKroN0Tijw,Las Islas De Coral,3.5,75,$$,[],False,Seafood,seafood,33.9766367,-118.2304249,US,CA,Huntington Park,90255,
