ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
bspGO743LzemMRSfpbrh8A,PERL by Chef IP,5.0,6,,,False,"Seafood, Mediterranean, Cocktail Bars","seafood, mediterranean, cocktailbars",25.947124,-80.152363,US,FL,Miami,33180
CMPipZElCaiY7iwkIGmeSA,Etzel Itzik Deli,4.5,193,$$,['delivery'],False,"Delis, Middle Eastern","delis, mideastern",25.94915,-80.14846,US,FL,Miami,33180
uYyMp91kDtm-yaHQptkByA,Dixie BBQ,3.5,33,$,"['delivery', 'pickup']",False,"Barbeque, Burgers, Kosher","bbq, burgers, kosher",25.9491111,-80.149078,US,FL,Miami,33180
62zeRayPOD9QLJrWhyF5_g,Pita Plus of Aventura,4.0,220,$$,['delivery'],False,"Middle Eastern, Mediterranean, Burgers","mideastern, mediterranean, burgers",25.950120818439,-80.1446559562752,US,FL,Miami,33180
VkAqhLt9mAhPPf6j469mHg,Maam's Jamaican Restaurant,4.0,60,$,['delivery'],False,Caribbean,caribbean,25.964294,-80.171981,US,FL,Miami,33179
_MGD3BbGcjlkPi6Hm_SggQ,POKÉ + GO,4.5,238,$$,"['delivery', 'pickup']",False,"Poke, Hawaiian, Japanese","poke, hawaiian, japanese",25.9476,-80.150806,US,FL,Miami,33180
vagpyJ1IxZJmsNyYMQ0Y6g,Sr Ceviche - Aventura,4.0,217,$$,"['delivery', 'pickup']",False,Peruvian,peruvian,25.94706,-80.1496,US,FL,Miami,33180
nE5cDKXAZhNyjkbPD-x65w,Chef Adrianne's Vineyard Restaurant And Bar,4.5,1321,$$$,['delivery'],False,"Steakhouses, Seafood, Cocktail Bars","steak, seafood, cocktailbars",25.68853,-80.38399,US,FL,Miami,33183
Jbzw5Q43tZcQjzC4obMvFA,Bolay,5.0,8,,,False,American (New),newamerican,25.686937,-80.38645,US,FL,Miami,33183
VMuV-zwkipqCpAjU060EwQ,Rib's On Wheels,4.0,14,,"['delivery', 'pickup']",False,"Barbeque, Food Trucks","bbq, foodtrucks",25.6897455,-80.3821113,US,FL,Miami,33183
vnwvaCzs_sp2qz7agMB9Jw,Jealous Fork,5.0,66,,['delivery'],False,"Food Trucks, Pancakes","foodtrucks, pancakes",25.6904573202535,-80.3660171851516,US,FL,Miami,33173
fylIHQF8VF2DwLWNUCq3og,Tacos & Tattoos,4.0,1891,$$,"['delivery', 'pickup']",False,"Mexican, Street Vendors","mexican, streetvendors",25.671308,-80.385997,US,FL,Miami,33186
JL8g4L5FiwpWrJaqzSk-PA,Pisco Y Nazca,4.0,1084,$$,"['delivery', 'pickup']",False,"Gastropubs, Peruvian, Cocktail Bars","gastropubs, peruvian, cocktailbars",25.689225,-80.385941,US,FL,Miami,33183
koxGGPEa-xruE2yAFToBKA,Aladdin Market & Grill,5.0,133,$,"['delivery', 'pickup']",False,"Mediterranean, Middle Eastern","mediterranean, mideastern",25.697096,-80.3825483390402,US,FL,Miami,33183
nlL3PNq9_2mPKEKmSkzkGg,Makan Miami,5.0,10,,"['delivery', 'pickup']",False,"Food Trucks, Peruvian, Asian Fusion","foodtrucks, peruvian, asianfusion",25.6859044,-80.381262,US,FL,Miami,33176
URZ80u6iSD_m8H9aFkiUNg,Secreto Restaurant,4.0,202,$$,['delivery'],False,Italian,italian,25.6852061606135,-80.3838493881134,US,FL,Miami,33176
KRkMW4OQ64g4YfTFgNkTDg,Bigotes Y Sombreros,4.5,122,$$,"['delivery', 'pickup']",False,Mexican,mexican,25.66872,-80.37852,US,FL,Miami,33176
GI5HdnF3CYHxxlU4AKkn7A,Crafty Crab - Sunset,4.5,33,,"['delivery', 'pickup']",False,"Cajun/Creole, Seafood","cajun, seafood",25.70257,-80.36929,US,FL,Miami,33173
e_J071_2K5kfZx-FLNefaw,Tik Tea,4.5,18,,,False,"Ramen, Bubble Tea, Juice Bars & Smoothies","ramen, bubbletea, juicebars",25.671695,-80.37128,US,FL,Miami,33176
mMztNkATAt2BEbkSGADe7g,Puerto Madero Miami,4.0,357,$$,['delivery'],False,"Argentine, Steakhouses, Meat Shops","argentine, steak, meats",25.6869311748724,-80.4024184408987,US,FL,Miami,33186
otGxXX2FoqzUzwtbMx9r4A,Hibachi Grill Masters,3.5,51,,"['delivery', 'pickup']",False,Japanese,japanese,25.6884516923553,-80.3861065126954,US,FL,Miami,33183
jmlB4orZNZOE_er32PJkDQ,Hibachi Grill Masters,4.0,15,$,"['delivery', 'pickup']",False,"Japanese, Food Trucks","japanese, foodtrucks",25.68905,-80.385878,US,FL,Miami,33183
DaoaDCNvmvHIxdjSUz9d2w,Off The Grille Kendall,4.0,356,$$,"['delivery', 'pickup']",False,"Latin American, American (New)","latin, newamerican",25.6844316707114,-80.3987487957702,US,FL,Miami,33186
pL2NBv2aeAipPTAoNXkJCA,Shawarma Mediterranean Grill,4.0,169,$$,['delivery'],False,"Mediterranean, Middle Eastern","mediterranean, mideastern",25.6861151,-80.3857882,US,FL,Miami,33186
3jGa1-ZdDgH36lvU7IuBxQ,Flanigan's Seafood Bar & Grill,3.5,419,$$,,False,"Seafood, American (Traditional), Sports Bars","seafood, tradamerican, sportsbars",25.685498067409,-80.4018624111896,US,FL,Miami,33186
a6DwmDRt0MRnXlA4FmKgbQ,Los Arrieros,4.0,98,$$,"['delivery', 'pickup']",False,Colombian,colombian,25.68758,-80.36325,US,FL,Miami,33176
5nEpXI4LM9URZkMGV-YoTg,Pincho,3.5,283,$$,,False,"American (New), Burgers, Latin American","newamerican, burgers, latin",25.6844667622599,-80.399262830615,US,FL,Miami,33186
Z4CkBVAWH4x5eQwpe_LBSg,Miller's Ale House - Kendall,3.0,244,$$,,False,"Seafood, American (Traditional), Sports Bars","seafood, tradamerican, sportsbars",25.6878473728383,-80.3812856363444,US,FL,Miami,33176
QKl82uRyFU1CFgXhh5RgSg,Latin House Grill,3.5,1037,$$,"['delivery', 'pickup']",False,"Latin American, Burgers, Mexican","latin, burgers, mexican",25.68797,-80.3936,US,FL,Miami,33183
MGYbITlEe6e5n9ECn31gZg,Osteria Vecchio Piemonte,4.5,512,$$,['delivery'],False,Italian,italian,25.7010162587277,-80.3631066310896,US,FL,Miami,33173
pIODyR2n0TFRAVgmkQNBJQ,Outback Steakhouse,3.0,365,$$,,False,Steakhouses,steak,25.689116,-80.386059,US,FL,Miami,33183
Z1NSmtoWRqsR3Z2Ubfk_ew,Coppola's Ristorante Italiano,4.5,158,$$,['delivery'],False,Italian,italian,25.6999947,-80.3657110780478,US,FL,Miami,33173
lPSrRXp2_HbHjKTfJ4HXtw,Rock That Burger,4.0,205,$,"['delivery', 'pickup']",False,"Burgers, Fast Food, Hot Dogs","burgers, hotdogs, hotdog",25.7018203735352,-80.3828353881836,US,FL,Miami,33183
Xj2cv0FaPgq74VcqVWx4ZQ,Chef Chen,4.0,167,$$,"['delivery', 'pickup']",False,Chinese,chinese,25.68769,-80.38041,US,FL,Miami,33176
dkFoh742i2qOQLNrDYRSoQ,Gyroville,4.0,290,$,"['delivery', 'pickup']",False,"Greek, Halal, Mediterranean","greek, halal, mediterranean",25.6854457523934,-80.3644753710712,US,FL,Miami,33176
SgyBbAIF07AvbruNTsrYlw,Jamrock Cuisine,5.0,145,$,['pickup'],False,"Caribbean, Chinese, Asian Fusion","caribbean, chinese, asianfusion",25.6845522989498,-80.3985356472214,US,FL,Miami,33186
SJS0THOuL5s14IYUdBSrkQ,MyRoots Juice Bar & Kitchen,4.5,575,$$,"['delivery', 'pickup']",False,"Juice Bars & Smoothies, Vegan, Bagels","juicebars, vegan, bagels",25.68854,-80.39473,US,FL,Miami,33183
m--MOJY9YbuQdiCIT16rKA,Los Gauchos Cbs,5.0,2,,,False,"Argentine, Steakhouses, Food Trucks","argentine, steak, foodtrucks",25.705453001684564,-80.39848501744262,US,FL,Miami,33183
P79Q5dHFFZEQW5EhANkAIA,Maute Grill Miami,5.0,1,,,False,"Food Trucks, Steakhouses","foodtrucks, steak",25.70294,-80.38285,US,FL,Miami,33183
teLI2c6d0iuLG6VZFoCavA,El Rancho Grande Mexican Restaurant Kendall,4.0,617,$$,['delivery'],False,"Mexican, Desserts, Breakfast & Brunch","mexican, desserts, breakfast_brunch",25.6866320810011,-80.4025708288361,US,FL,Miami,33183
wk73QuXs6Q2kEI15wlR05w,Siam Bistro,4.5,238,$$,['delivery'],False,"Thai, Vietnamese","thai, vietnamese",25.6989235,-80.3823149,US,FL,Miami,33183
b22y7XL3OGToFp-HnDm4_A,Ken's Healthy Delights,4.5,123,$,"['delivery', 'pickup']",False,"Juice Bars & Smoothies, Bagels, Creperies","juicebars, bagels, creperies",25.6888599280073,-80.3878500312567,US,FL,Miami,33183
-KMCANuzPPgN18fl70x-hA,Jumwich Sandwich Shop,4.5,7,$,,False,Sandwiches,sandwiches,25.68597,-80.3812582,US,FL,Miami,33176
s0TgL7sY-W5qomS3YFeoHw,Bahama Breeze,3.0,489,$$,['delivery'],False,"Bars, Seafood, Latin American","bars, seafood, latin",25.686632,-80.393475,US,FL,Miami,33186
9nFN2n3GcdL-QMxC3N-d2A,The Melting Pot,3.5,238,$$$,,False,Fondue,fondue,25.699273,-80.380506,US,FL,Miami,33173
_Y0gaMPJhUo5c6ILOhoKNg,La Fogata Kendall,4.0,184,$$,"['delivery', 'pickup']",False,Latin American,latin,25.68693,-80.38686,US,FL,Miami,33183
oSctMM0gpVvb2Jc0h71DTQ,Pepitolandia Urban Grill,2.5,5,,"['delivery', 'pickup']",False,Venezuelan,venezuelan,25.6846178366743,-80.3652601316571,US,FL,Miami,33176
yUaZo9MpwTWyRVsqZN4zFA,Giardino Gourmet Salads,4.0,216,$$,"['delivery', 'pickup']",False,"Salad, Soup, Wraps","salad, soup, wraps",25.6857734319577,-80.38382193823,US,FL,Miami,33176
fF_TXXKP5AouBGHNgfxsew,LOCAL PIE,4.5,334,$$,"['delivery', 'pickup']",False,"Pizza, Salad","pizza, salad",25.6686986843865,-80.3783432724915,US,FL,Miami,33176
uw0h1J4Ll-ZulvXRl-VdCQ,Lime Fresh Mexican Grill,4.0,257,$,['delivery'],False,"Mexican, Salad","mexican, salad",25.6853673683062,-80.3987155045629,US,FL,Miami,33186
pbJWEgLD8nbxyHBb1V-AFA,Bocas Grill Kendall,4.0,603,$$,"['delivery', 'pickup']",False,"Latin American, Salad, Breakfast & Brunch","latin, salad, breakfast_brunch",25.6847160349408,-80.3922954574227,US,FL,Miami,33186
P-htC3807dnpvximCnWrBA,Fritanga Monimbo ,3.5,88,$,['delivery'],False,Fast Food,hotdogs,25.7017938452884,-80.3807791733895,US,FL,Miami,33255
VPyAcpEkV187JY8ApCFybA,Cuban Guys,4.0,332,$,"['delivery', 'pickup']",False,"Cuban, Sandwiches, Fast Food","cuban, sandwiches, hotdogs",25.701349,-80.367016,US,FL,Miami,33173
-n8R0nnlrAEhkNGBy1r1vg,Sumo 88,4.5,26,,"['delivery', 'pickup']",False,"Sushi Bars, Ramen, Bubble Tea","sushi, ramen, bubbletea",25.687461,-80.363059,US,FL,Miami,33176
klB7Wqa6uCiXkrNPV7el3A,El Toro Loco Churrascaria Kendall,4.5,8,,"['delivery', 'pickup']",False,"Steakhouses, Brazilian, Breakfast & Brunch","steak, brazilian, breakfast_brunch",25.68721,-80.36339,US,FL,Miami,33176
P49k7BgVacaDQc3HJcYnyQ,Bulla Gastrobar,4.0,60,,"['pickup', 'delivery']",False,"Spanish, Gastropubs, Tapas Bars","spanish, gastropubs, tapas",25.645593665636216,-80.3371250300396,US,FL,Miami,33176
KRkMW4OQ64g4YfTFgNkTDg,Bigotes Y Sombreros,4.5,122,$$,"['pickup', 'delivery']",False,Mexican,mexican,25.66872,-80.37852,US,FL,Miami,33176
e_J071_2K5kfZx-FLNefaw,Tik Tea,4.5,18,,,False,"Ramen, Bubble Tea, Juice Bars & Smoothies","ramen, bubbletea, juicebars",25.671695,-80.37128,US,FL,Miami,33176
QOCSukteJD8M2Flmq-PseA,The Crazy Toston,4.0,293,$,['pickup'],False,"Fast Food, Latin American","hotdogs, latin",25.6556320321457,-80.3827319791399,US,FL,Miami,33186
QsMP4RZABxqWCD6Iq7Y4Bw,Hole In The Wall,4.0,383,$$,['delivery'],False,"American (Traditional), Sports Bars, Chicken Wings","tradamerican, sportsbars, chicken_wings",25.6552104912513,-80.3826954304838,US,FL,Miami,33186
tseHV2x5u0UOyw6ZWPIzNA,K-Bab,5.0,5,,"['pickup', 'delivery']",False,Mediterranean,mediterranean,25.644638,-80.339223,US,FL,Miami,33176
tmvvoi7-T13LTvLPZF3qLA,Rinconcito Cubano of Kendall,4.0,60,$$,"['pickup', 'delivery']",False,Cuban,cuban,25.6551740232367,-80.382628783165,US,FL,Miami,33186
fF_TXXKP5AouBGHNgfxsew,LOCAL PIE,4.5,334,$$,"['pickup', 'delivery']",False,"Pizza, Salad","pizza, salad",25.6686986843865,-80.3783432724915,US,FL,Miami,33176
K2kMNsp70vYYRKohXPcceA,Chana Thai Kitchen,4.0,241,$$,"['pickup', 'delivery']",False,"Thai, Sushi Bars","thai, sushi",25.6454099,-80.33507,US,FL,Miami,33176
rakRpFgtXDMiRi4-N3A3cA,El Rinconcito Latino,3.5,41,$$,['delivery'],False,"Latin American, Cuban","latin, cuban",25.6722487402431,-80.3568242490292,US,FL,Miami,33176
kVHPTtFspIcSsu-yTQZ_sw,Hungry Bear Sub Shop,4.0,297,$,['delivery'],False,"Sandwiches, Salad, Burgers","sandwiches, salad, burgers",25.671188,-80.372491,US,FL,Miami,33176
X88xUqfO3C1sa4UYEYCXLQ,P.F. Chang's,3.0,340,$$,"['pickup', 'delivery']",False,"Chinese, Asian Fusion, Gluten-Free","chinese, asianfusion, gluten_free",25.6458347731816,-80.3396962711639,US,FL,Miami,33176
lVPK90oITsm5Mnk-qmKIFA,Outback Steakhouse,3.5,225,$$,,False,Steakhouses,steak,25.647982354389,-80.3387963961563,US,FL,Miami,33176
zP4vWin6EH1WdOihAaA_cg,Wings N Jerk,4.0,11,,"['pickup', 'delivery']",False,"Chicken Wings, Caribbean","chicken_wings, caribbean",25.6711702,-80.3723898,US,FL,Miami,33176
FDI1jPYgoy5yZiO0fqWX-Q,Slim Tastes,4.0,5,$,['delivery'],False,"Food Delivery Services, Salad, Caterers","fooddeliveryservices, salad, catering",25.6720872,-80.3709635,US,FL,Miami,33176
92dK2LXbjEGoy8x2z4Td_Q,Sokai Sushi Bar,3.5,289,$$,"['pickup', 'delivery']",False,"Sushi Bars, Japanese","sushi, japanese",25.6443825,-80.3394789,US,FL,Miami,33176
f2d7Te5K-nhgjeZUswLcPQ,Wow Bao,2.5,4,,['delivery'],False,"Dim Sum, Asian Fusion","dimsum, asianfusion",25.6510020824545,-80.3347050771117,US,FL,Miami,33176
rT2fwiSE0Vee0iF7MBMXlg,Pummarola -The Falls,3.5,50,$,"['pickup', 'delivery']",False,"Pizza, Italian","pizza, italian",25.644402,-80.3394789,US,FL,Miami,33176
8goihspIttYKwFW2yhbpkA,Inari Sushi Fusion  Kendall,4.5,155,$$,"['pickup', 'delivery']",False,"Sushi Bars, Peruvian, Japanese","sushi, peruvian, japanese",25.6687619,-80.3784809,US,FL,Miami,33176
