i,ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code,transactions_
0,lJAGnYzku5zSaLnQ_T6_GQ,Brenda's French Soul Food,4.0,11052,$$,['delivery'],False,"Breakfast & Brunch, Southern, Cajun/Creole","breakfast_brunch, southern, cajun",37.7829016035273,-122.419043442957,US,CA,San Francisco,94102,['delivery']
1,NIxLwW9mdYegtqhxmXjoaQ,Sunset Squares Pizza,4.0,9,,[],False,Pizza,pizza,37.776902,-122.415244,US,CA,San Francisco,94103,
2,AMhxom9yhQjTkFRMTKk_IA,WingSlut,4.5,6,,[],False,"Chicken Wings, Fast Food, Asian Fusion","chicken_wings, hotdogs, asianfusion",37.776775,-122.416414,US,CA,San Francisco,94103,
3,vmZ-bgnM5B76NUpegAjy1g,Hotbird,4.5,129,,[],False,"Sandwiches, Chicken Shop, Burgers","sandwiches, chickenshop, burgers",37.7768004184036,-122.416263845447,US,CA,San Francisco,94103,
4,uEeWn6sPq-giWvfE9uhQ7A,Dottie's True Blue Cafe,4.0,4533,$$,"['pickup', 'delivery']",False,"American (Traditional), Breakfast & Brunch, Cafes","tradamerican, breakfast_brunch, cafes",37.7817050429594,-122.409839630127,US,CA,San Francisco,94103,"['pickup', 'delivery']"
5,vLNzJX1ctfP4NNESCFOeGw,Son & Garden,4.5,87,,['delivery'],False,American (New),newamerican,37.783387,-122.419016,US,CA,San Francisco,94109,['delivery']
6,eLIwYQUopMYNQTiWVILuYA,Califorrito,5.0,4,,"['pickup', 'delivery']",False,Mexican,mexican,37.776406,-122.421519,US,CA,San Francisco,94102,"['pickup', 'delivery']"
7,t2sNw0Uzhs7iu7KO4bt8ug,Tortellino,4.5,32,$$,"['pickup', 'delivery']",False,"Italian, Pasta Shops, Cooking Classes","italian, pastashops, cookingclasses",37.776785,-122.4166,US,CA,San Francisco,94103,"['pickup', 'delivery']"
8,hqQoVK0vadOX7_4gN1sh3g,Saigon Sandwich,4.5,3355,$,['delivery'],False,"Vietnamese, Sandwiches","vietnamese, sandwiches",37.7831519576568,-122.417318022037,US,CA,San Francisco,94102,['delivery']
9,lQv-kAI-ZOMPSJj909I1JQ,Sunset Slurps,4.5,26,,[],False,Comfort Food,comfortfood,37.773658,-122.416093,US,CA,San Francisco,94103,
10,GmHNkpAaypi9jclaLI7sDQ,Fermentation Lab,4.5,292,$$,"['pickup', 'delivery']",False,Gastropubs,gastropubs,37.77852,-122.41561,US,CA,San Francisco,94102,"['pickup', 'delivery']"
11,kFgjHGp-cTUK5uPaSJOORA,Souvla,4.0,1414,$$,['delivery'],False,"Greek, Mediterranean","greek, mediterranean",37.77643,-122.425,US,CA,San Francisco,94102,['delivery']
12,kvrQecqdGvnuVICMstZJmA,Dumpling Home,4.5,84,,"['pickup', 'delivery']",False,"Dim Sum, Noodles, Asian Fusion","dimsum, noodles, asianfusion",37.77571,-122.42257,US,CA,San Francisco,94102,"['pickup', 'delivery']"
13,__V4jzP3SNrg3_n0QoDmcQ,Beyond Burma,4.0,98,$$,"['delivery', 'pickup', 'restaurant_reservation']",False,"Burmese, Indonesian, Noodles","burmese, indonesian, noodles",37.78784,-122.413565,US,CA,San Francisco,94109,"['delivery', 'pickup', 'restaurant_reservation']"
