city,country,ids,is_closed,latitude,longitude,names,pickup_delivery,price,purchase,rating,review_count,state,transactions,transactions_,type_food,type_food_alias,zip_code
San Francisco,US,vmZ-bgnM5B76NUpegAjy1g,False,37.7768004184036,-122.416263845447,Hotbird,,,,4.5,131,CA,,,"Sandwiches, Chicken Shop, Burgers","sandwiches, chickenshop, burgers",94103.0
San Francisco,US,pgjbSwK_8DH2o_zQsr3dRQ,False,37.77713,-122.41963999999999,AshYan's Lu Ruo Fan,,,,5.0,4,CA,,,"Taiwanese, Food Delivery Services","taiwanese, fooddeliveryservices",
San Francisco,US,KA-P3d2NcbJy5SQN-vCzPA,False,37.78655,-122.41795,Aria Korean Street Food,pickup and delivery,$$,"['pickup', 'delivery']",4.0,891,CA,"['pickup', 'delivery']",,"Korean, Tapas/Small Plates, Chicken Shop","korean, tapasmallplates, chickenshop",94109.0
San Francisco,US,kFgjHGp-cTUK5uPaSJOORA,False,37.77643,-122.425,Souvla,only delivery,$$,['delivery'],4.0,1418,CA,['delivery'],,"Greek, Mediterranean","greek, mediterranean",94102.0
San Francisco,US,sk2OH92GwQjFKbguoFWHSw,False,37.776902,-122.415244,Uncle Tito,,,,4.0,1,CA,,,Filipino,filipino,94103.0
San Francisco,US,GmHNkpAaypi9jclaLI7sDQ,False,37.77852,-122.41561000000002,Fermentation Lab,pickup and delivery,$$,"['pickup', 'delivery']",4.5,292,CA,"['pickup', 'delivery']",,Gastropubs,gastropubs,94102.0
San Francisco,US,kvrQecqdGvnuVICMstZJmA,False,37.77571,-122.42257,Dumpling Home,pickup and delivery,,"['pickup', 'delivery']",4.5,96,CA,"['pickup', 'delivery']",,"Dim Sum, Noodles, Asian Fusion","dimsum, noodles, asianfusion",94102.0
San Francisco,US,lJAGnYzku5zSaLnQ_T6_GQ,False,37.7829016035273,-122.419043442957,Brenda's French Soul Food,only delivery,$$,['delivery'],4.0,11058,CA,['delivery'],,"Breakfast & Brunch, Southern, Cajun/Creole","breakfast_brunch, southern, cajun",94102.0
San Francisco,US,AMhxom9yhQjTkFRMTKk_IA,False,37.776775,-122.41641399999999,WingSlut,,,,4.5,11,CA,,,"Chicken Wings, Fast Food, Asian Fusion","chicken_wings, hotdogs, asianfusion",94103.0
San Francisco,US,__V4jzP3SNrg3_n0QoDmcQ,False,37.78784,-122.41356499999999,Beyond Burma,pickup and delivery,$$,"['restaurant_reservation', 'pickup', 'delivery']",4.0,98,CA,"['pickup', 'delivery', 'restaurant_reservation']",,"Burmese, Indonesian, Noodles","burmese, indonesian, noodles",94109.0
