date,location,src,value
2020-03-01,San Francisco,indexed_average_person,77.0
2020-03-02,San Francisco,indexed_average_person,97.0
2020-03-03,San Francisco,indexed_average_person,95.0
2020-03-04,San Francisco,indexed_average_person,101.0
2020-03-05,San Francisco,indexed_average_person,100.0
2020-03-06,San Francisco,indexed_average_person,112.0
2020-03-07,San Francisco,indexed_average_person,89.0
2020-03-08,San Francisco,indexed_average_person,76.0
2020-03-09,San Francisco,indexed_average_person,78.0
2020-03-10,San Francisco,indexed_average_person,84.0
2020-03-11,San Francisco,indexed_average_person,87.0
2020-03-12,San Francisco,indexed_average_person,81.0
2020-03-13,San Francisco,indexed_average_person,87.0
2020-03-14,San Francisco,indexed_average_person,38.0
2020-03-15,San Francisco,indexed_average_person,19.0
2020-03-16,San Francisco,indexed_average_person,48.0
2020-03-17,San Francisco,indexed_average_person,2.0
2020-03-18,San Francisco,indexed_average_person,2.0
2020-03-19,San Francisco,indexed_average_person,1.0
2020-03-20,San Francisco,indexed_average_person,3.0
2020-03-21,San Francisco,indexed_average_person,1.0
2020-03-22,San Francisco,indexed_average_person,1.0
2020-03-23,San Francisco,indexed_average_person,0.0
2020-03-24,San Francisco,indexed_average_person,0.0
2020-03-25,San Francisco,indexed_average_person,1.0
2020-03-26,San Francisco,indexed_average_person,0.0
2020-03-27,San Francisco,indexed_average_person,1.0
2020-03-28,San Francisco,indexed_average_person,0.0
2020-03-29,San Francisco,indexed_average_person,0.0
2020-03-30,San Francisco,indexed_average_person,0.0
2020-03-31,San Francisco,indexed_average_person,0.0
2020-04-01,San Francisco,indexed_average_person,0.0
2020-04-02,San Francisco,indexed_average_person,1.0
2020-04-03,San Francisco,indexed_average_person,1.0
2020-04-04,San Francisco,indexed_average_person,0.0
2020-04-05,San Francisco,indexed_average_person,0.0
2020-04-06,San Francisco,indexed_average_person,0.0
2020-04-07,San Francisco,indexed_average_person,0.0
2020-04-08,San Francisco,indexed_average_person,0.0
2020-04-09,San Francisco,indexed_average_person,0.0
2020-04-10,San Francisco,indexed_average_person,1.0
2020-04-11,San Francisco,indexed_average_person,0.0
2020-04-12,San Francisco,indexed_average_person,0.0
2020-04-13,San Francisco,indexed_average_person,0.0
