date,location,src,value,class
2020-02-19,San Francisco,venues_foursquare,100.0,Airports
2020-02-20,San Francisco,venues_foursquare,97.93939998888538,Airports
2020-02-21,San Francisco,venues_foursquare,95.74626601543785,Airports
2020-02-22,San Francisco,venues_foursquare,94.7518004687624,Airports
2020-02-23,San Francisco,venues_foursquare,95.4376256345238,Airports
2020-02-24,San Francisco,venues_foursquare,95.0816504071929,Airports
2020-02-25,San Francisco,venues_foursquare,91.53448478498112,Airports
2020-02-26,San Francisco,venues_foursquare,91.4807195709754,Airports
2020-02-27,San Francisco,venues_foursquare,92.42611901527809,Airports
2020-02-28,San Francisco,venues_foursquare,93.85150447635336,Airports
2020-02-29,San Francisco,venues_foursquare,93.52026253817465,Airports
2020-03-01,San Francisco,venues_foursquare,92.7001185021009,Airports
2020-03-02,San Francisco,venues_foursquare,90.96216957746556,Airports
2020-03-03,San Francisco,venues_foursquare,91.51899640437145,Airports
2020-03-04,San Francisco,venues_foursquare,89.93640225975406,Airports
2020-03-05,San Francisco,venues_foursquare,87.70353521546697,Airports
2020-03-06,San Francisco,venues_foursquare,85.02954173384498,Airports
2020-03-07,San Francisco,venues_foursquare,83.95776942289395,Airports
2020-03-08,San Francisco,venues_foursquare,81.56120873236776,Airports
2020-03-09,San Francisco,venues_foursquare,78.80648157217962,Airports
2020-03-10,San Francisco,venues_foursquare,76.49785527813481,Airports
2020-03-11,San Francisco,venues_foursquare,74.19587642128343,Airports
2020-03-12,San Francisco,venues_foursquare,70.39353161247844,Airports
2020-03-13,San Francisco,venues_foursquare,66.85079089432705,Airports
2020-03-14,San Francisco,venues_foursquare,65.6553532251834,Airports
2020-03-15,San Francisco,venues_foursquare,63.784838939306276,Airports
2020-03-16,San Francisco,venues_foursquare,62.921986033352844,Airports
2020-03-17,San Francisco,venues_foursquare,60.09835620598448,Airports
2020-03-18,San Francisco,venues_foursquare,57.06989838351406,Airports
2020-03-19,San Francisco,venues_foursquare,52.85453136976599,Airports
2020-03-20,San Francisco,venues_foursquare,48.492246870421425,Airports
2020-03-21,San Francisco,venues_foursquare,44.680195020187185,Airports
2020-03-22,San Francisco,venues_foursquare,39.79363503448603,Airports
2020-03-23,San Francisco,venues_foursquare,34.1619841465685,Airports
2020-03-24,San Francisco,venues_foursquare,31.185510710232233,Airports
2020-03-25,San Francisco,venues_foursquare,29.51767532435151,Airports
2020-03-26,San Francisco,venues_foursquare,27.804148240500588,Airports
2020-03-27,San Francisco,venues_foursquare,25.528827336219802,Airports
2020-03-28,San Francisco,venues_foursquare,23.398092008373624,Airports
2020-03-29,San Francisco,venues_foursquare,21.43828907416359,Airports
2020-03-30,San Francisco,venues_foursquare,20.620872245407917,Airports
2020-03-31,San Francisco,venues_foursquare,19.871601593094034,Airports
2020-04-01,San Francisco,venues_foursquare,18.559320879056827,Airports
2020-04-02,San Francisco,venues_foursquare,17.13463584825023,Airports
2020-04-03,San Francisco,venues_foursquare,16.360594093867938,Airports
2020-04-04,San Francisco,venues_foursquare,15.825020770981695,Airports
2020-04-05,San Francisco,venues_foursquare,14.829794535166045,Airports
2020-04-06,San Francisco,venues_foursquare,14.415067614192147,Airports
2020-04-07,San Francisco,venues_foursquare,13.800954495594684,Airports
2020-04-08,San Francisco,venues_foursquare,13.021638401965275,Airports
2020-04-09,San Francisco,venues_foursquare,13.214527671069453,Airports
2020-04-10,San Francisco,venues_foursquare,13.409516548501642,Airports
2020-04-11,San Francisco,venues_foursquare,13.407153509298947,Airports
2020-04-12,San Francisco,venues_foursquare,13.582915053641742,Airports
2020-04-13,San Francisco,venues_foursquare,13.531508300467088,Airports
2020-04-14,San Francisco,venues_foursquare,13.843916591540577,Airports
2020-04-15,San Francisco,venues_foursquare,13.616365716118347,Airports
2020-04-16,San Francisco,venues_foursquare,13.279762114383994,Airports
2020-04-17,San Francisco,venues_foursquare,13.395241285821145,Airports
2020-04-18,San Francisco,venues_foursquare,13.546385394326654,Airports
2020-04-19,San Francisco,venues_foursquare,13.710902026088158,Airports
2020-04-20,San Francisco,venues_foursquare,13.698930515103747,Airports
2020-04-21,San Francisco,venues_foursquare,13.294313638629156,Airports
2020-04-22,San Francisco,venues_foursquare,13.438258339841664,Airports
2020-04-23,San Francisco,venues_foursquare,13.397790435016265,Airports
2020-04-24,San Francisco,venues_foursquare,12.818514341356696,Airports
2020-04-25,San Francisco,venues_foursquare,12.56821110348991,Airports
2020-04-26,San Francisco,venues_foursquare,12.480153022573182,Airports
2020-04-27,San Francisco,venues_foursquare,12.294092974645267,Airports
2020-04-28,San Francisco,venues_foursquare,12.103656791270778,Airports
2020-04-29,San Francisco,venues_foursquare,11.919784648412762,Airports
2020-04-30,San Francisco,venues_foursquare,12.426920960312678,Airports
2020-05-01,San Francisco,venues_foursquare,12.997910709458266,Airports
2020-05-02,San Francisco,venues_foursquare,13.176074735640078,Airports
2020-05-03,San Francisco,venues_foursquare,13.158569492592704,Airports
2020-05-04,San Francisco,venues_foursquare,13.374250852062678,Airports
2020-05-05,San Francisco,venues_foursquare,13.199934357971687,Airports
2020-05-06,San Francisco,venues_foursquare,13.917344951741645,Airports
2020-05-07,San Francisco,venues_foursquare,13.661938489594045,Airports
2020-05-08,San Francisco,venues_foursquare,13.475058342923225,Airports
2020-05-09,San Francisco,venues_foursquare,13.465195676737187,Airports
2020-05-10,San Francisco,venues_foursquare,13.783573426719105,Airports
2020-05-11,San Francisco,venues_foursquare,13.652324238986008,Airports
2020-05-12,San Francisco,venues_foursquare,13.803673787112455,Airports
2020-05-13,San Francisco,venues_foursquare,13.493960040256274,Airports
2020-05-14,San Francisco,venues_foursquare,13.896832348820613,Airports
2020-05-15,San Francisco,venues_foursquare,14.82618508226398,Airports
2020-05-16,San Francisco,venues_foursquare,15.313593104325804,Airports
2020-05-17,San Francisco,venues_foursquare,15.416575906414314,Airports
2020-05-18,San Francisco,venues_foursquare,16.010457772257002,Airports
2020-05-19,San Francisco,venues_foursquare,16.595276426431273,Airports
2020-05-20,San Francisco,venues_foursquare,16.692825727137787,Airports
2020-05-21,San Francisco,venues_foursquare,17.202233791350956,Airports
2020-05-22,San Francisco,venues_foursquare,17.275041448292562,Airports
2020-05-23,San Francisco,venues_foursquare,17.195300750680616,Airports
2020-05-24,San Francisco,venues_foursquare,17.38567688624331,Airports
2020-05-25,San Francisco,venues_foursquare,17.331598574039628,Airports
2020-05-26,San Francisco,venues_foursquare,18.879123368213374,Airports
2020-05-27,San Francisco,venues_foursquare,19.757259375863875,Airports
2020-05-28,San Francisco,venues_foursquare,19.553505014136817,Airports
2020-05-29,San Francisco,venues_foursquare,19.261432209286994,Airports
2020-05-30,San Francisco,venues_foursquare,19.649599823107646,Airports
2020-05-31,San Francisco,venues_foursquare,20.420626571473992,Airports
2020-06-01,San Francisco,venues_foursquare,20.710988946373227,Airports
2020-06-02,San Francisco,venues_foursquare,19.84524627041404,Airports
2020-06-03,San Francisco,venues_foursquare,19.130663058248718,Airports
2020-06-04,San Francisco,venues_foursquare,19.166215717188436,Airports
2020-06-05,San Francisco,venues_foursquare,19.616864610936155,Airports
2020-06-06,San Francisco,venues_foursquare,19.476975843775577,Airports
2020-06-07,San Francisco,venues_foursquare,19.007124068551192,Airports
2020-06-08,San Francisco,venues_foursquare,19.41674635117774,Airports
2020-06-09,San Francisco,venues_foursquare,18.61600991243225,Airports
2020-06-10,San Francisco,venues_foursquare,18.759681172115158,Airports
2020-06-11,San Francisco,venues_foursquare,19.778009969615344,Airports
2020-06-12,San Francisco,venues_foursquare,20.154195152711168,Airports
2020-06-13,San Francisco,venues_foursquare,20.378321677402834,Airports
2020-06-14,San Francisco,venues_foursquare,21.017340811986962,Airports
2020-06-15,San Francisco,venues_foursquare,21.034748021239764,Airports
2020-06-16,San Francisco,venues_foursquare,21.461267444718718,Airports
2020-06-17,San Francisco,venues_foursquare,22.540791149468866,Airports
2020-06-18,San Francisco,venues_foursquare,23.091887103562993,Airports
2020-06-19,San Francisco,venues_foursquare,23.48975066743268,Airports
2020-06-20,San Francisco,venues_foursquare,24.06858567220609,Airports
2020-06-21,San Francisco,venues_foursquare,25.181887576609697,Airports
2020-06-22,San Francisco,venues_foursquare,25.44274616028924,Airports
2020-06-23,San Francisco,venues_foursquare,26.420587612807328,Airports
2020-06-24,San Francisco,venues_foursquare,27.85526246456645,Airports
2020-06-25,San Francisco,venues_foursquare,28.032017352282075,Airports
2020-06-26,San Francisco,venues_foursquare,27.801591549047647,Airports
2020-06-27,San Francisco,venues_foursquare,28.760456944061524,Airports
2020-06-28,San Francisco,venues_foursquare,28.096811039196353,Airports
2020-06-29,San Francisco,venues_foursquare,29.003118946210137,Airports
2020-06-30,San Francisco,venues_foursquare,28.84068878895257,Airports
2020-07-01,San Francisco,venues_foursquare,28.34077307279997,Airports
2020-07-02,San Francisco,venues_foursquare,28.262901447423033,Airports
2020-07-03,San Francisco,venues_foursquare,28.80267436631417,Airports
2020-07-04,San Francisco,venues_foursquare,27.67011210133305,Airports
2020-07-05,San Francisco,venues_foursquare,28.107700278497013,Airports
2020-07-06,San Francisco,venues_foursquare,28.446412660022112,Airports
2020-07-07,San Francisco,venues_foursquare,29.43295983569524,Airports
2020-07-08,San Francisco,venues_foursquare,28.57804106995771,Airports
2020-07-09,San Francisco,venues_foursquare,28.599653626941706,Airports
2020-07-10,San Francisco,venues_foursquare,28.54335971401514,Airports
2020-07-11,San Francisco,venues_foursquare,29.025379308761156,Airports
2020-07-12,San Francisco,venues_foursquare,29.080688533577103,Airports
2020-07-13,San Francisco,venues_foursquare,27.989586873697586,Airports
2020-07-14,San Francisco,venues_foursquare,27.792916299859428,Airports
2020-07-15,San Francisco,venues_foursquare,27.939104496684138,Airports
2020-07-16,San Francisco,venues_foursquare,28.121869929532814,Airports
2020-07-17,San Francisco,venues_foursquare,28.376946616834932,Airports
2020-07-18,San Francisco,venues_foursquare,28.283972501903797,Airports
2020-07-19,San Francisco,venues_foursquare,28.24203520781413,Airports
2020-07-20,San Francisco,venues_foursquare,28.70964544338685,Airports
2020-07-21,San Francisco,venues_foursquare,27.742632440283174,Airports
2020-07-22,San Francisco,venues_foursquare,27.968644225453247,Airports
2020-07-23,San Francisco,venues_foursquare,27.770889490940267,Airports
2020-07-24,San Francisco,venues_foursquare,27.42439887852911,Airports
2020-07-25,San Francisco,venues_foursquare,28.316487890111908,Airports
2020-07-26,San Francisco,venues_foursquare,27.843471404062186,Airports
2020-07-27,San Francisco,venues_foursquare,27.62435428786808,Airports
2020-07-28,San Francisco,venues_foursquare,27.12425944964323,Airports
2020-07-29,San Francisco,venues_foursquare,26.863169118284112,Airports
2020-07-30,San Francisco,venues_foursquare,26.900789402758328,Airports
2020-07-31,San Francisco,venues_foursquare,27.60153588971625,Airports
2020-08-01,San Francisco,venues_foursquare,27.683658994069482,Airports
2020-08-02,San Francisco,venues_foursquare,27.696110846028805,Airports
2020-08-03,San Francisco,venues_foursquare,27.69641715007427,Airports
2020-08-04,San Francisco,venues_foursquare,28.74905182757844,Airports
2020-08-05,San Francisco,venues_foursquare,28.680828906878535,Airports
2020-08-06,San Francisco,venues_foursquare,28.23503307306155,Airports
2020-08-07,San Francisco,venues_foursquare,27.07230500996718,Airports
2020-08-08,San Francisco,venues_foursquare,26.25654459333266,Airports
2020-08-09,San Francisco,venues_foursquare,26.32389695393085,Airports
2020-08-10,San Francisco,venues_foursquare,26.559737774519512,Airports
2020-08-11,San Francisco,venues_foursquare,25.69180805230718,Airports
2020-08-12,San Francisco,venues_foursquare,25.297191470424057,Airports
2020-08-13,San Francisco,venues_foursquare,25.47634973299956,Airports
