date,location,src,value
2020-03-01,Miami,indexed regular member,68.0
2020-03-02,Miami,indexed regular member,99.0
2020-03-03,Miami,indexed regular member,98.0
2020-03-04,Miami,indexed regular member,99.0
2020-03-05,Miami,indexed regular member,104.0
2020-03-06,Miami,indexed regular member,109.0
2020-03-07,Miami,indexed regular member,93.0
2020-03-08,Miami,indexed regular member,64.0
2020-03-09,Miami,indexed regular member,96.0
2020-03-10,Miami,indexed regular member,97.0
2020-03-11,Miami,indexed regular member,99.0
2020-03-12,Miami,indexed regular member,97.0
2020-03-13,Miami,indexed regular member,95.0
2020-03-14,Miami,indexed regular member,67.0
2020-03-15,Miami,indexed regular member,41.0
2020-03-16,Miami,indexed regular member,68.0
2020-03-17,Miami,indexed regular member,56.0
2020-03-18,Miami,indexed regular member,44.0
2020-03-19,Miami,indexed regular member,43.0
2020-03-20,Miami,indexed regular member,49.0
2020-03-21,Miami,indexed regular member,15.0
2020-03-22,Miami,indexed regular member,3.0
2020-03-23,Miami,indexed regular member,17.0
2020-03-24,Miami,indexed regular member,13.0
2020-03-25,Miami,indexed regular member,11.0
2020-03-26,Miami,indexed regular member,9.0
2020-03-27,Miami,indexed regular member,10.0
2020-03-28,Miami,indexed regular member,0.0
2020-03-29,Miami,indexed regular member,0.0
2020-03-30,Miami,indexed regular member,4.0
2020-03-31,Miami,indexed regular member,5.0
2020-04-01,Miami,indexed regular member,5.0
2020-04-02,Miami,indexed regular member,7.0
2020-04-03,Miami,indexed regular member,7.0
2020-04-04,Miami,indexed regular member,1.0
2020-04-05,Miami,indexed regular member,0.0
2020-04-06,Miami,indexed regular member,2.0
2020-04-07,Miami,indexed regular member,3.0
2020-04-08,Miami,indexed regular member,3.0
2020-04-09,Miami,indexed regular member,4.0
2020-04-10,Miami,indexed regular member,7.0
2020-04-11,Miami,indexed regular member,0.0
2020-04-12,Miami,indexed regular member,0.0
2020-04-13,Miami,indexed regular member,5.0
2020-04-14,Miami,indexed regular member,4.0
2020-04-15,Miami,indexed regular member,7.0
2020-04-16,Miami,indexed regular member,8.0
2020-04-17,Miami,indexed regular member,16.0
2020-04-18,Miami,indexed regular member,4.0
2020-04-19,Miami,indexed regular member,0.0
2020-04-21,Miami,indexed regular member,17.0
2020-04-22,Miami,indexed regular member,19.0
2020-04-23,Miami,indexed regular member,21.0
2020-04-24,Miami,indexed regular member,25.0
2020-04-25,Miami,indexed regular member,10.0
2020-04-26,Miami,indexed regular member,0.0
2020-04-27,Miami,indexed regular member,21.0
2020-04-28,Miami,indexed regular member,25.0
2020-04-29,Miami,indexed regular member,26.0
2020-04-30,Miami,indexed regular member,24.0
2020-05-01,Miami,indexed regular member,38.0
2020-05-02,Miami,indexed regular member,22.0
2020-05-03,Miami,indexed regular member,8.0
2020-05-04,Miami,indexed regular member,19.0
2020-05-05,Miami,indexed regular member,29.0
2020-05-06,Miami,indexed regular member,38.0
2020-05-07,Miami,indexed regular member,28.0
2020-05-08,Miami,indexed regular member,37.0
2020-05-09,Miami,indexed regular member,27.0
2020-05-10,Miami,indexed regular member,5.0
2020-05-11,Miami,indexed regular member,15.0
2020-05-12,Miami,indexed regular member,29.0
2020-05-13,Miami,indexed regular member,20.0
2020-05-14,Miami,indexed regular member,17.0
2020-05-15,Miami,indexed regular member,24.0
2020-05-16,Miami,indexed regular member,24.0
2020-05-17,Miami,indexed regular member,10.0
2020-05-18,Miami,indexed regular member,30.0
2020-05-19,Miami,indexed regular member,29.0
2020-05-20,Miami,indexed regular member,43.0
2020-05-21,Miami,indexed regular member,45.0
2020-05-22,Miami,indexed regular member,57.0
2020-05-23,Miami,indexed regular member,37.0
2020-05-24,Miami,indexed regular member,2.0
2020-05-25,Miami,indexed regular member,2.0
2020-05-26,Miami,indexed regular member,43.0
2020-05-27,Miami,indexed regular member,49.0
2020-05-28,Miami,indexed regular member,51.0
2020-05-30,Miami,indexed regular member,42.0
2020-05-31,Miami,indexed regular member,12.0
2020-06-01,Miami,indexed regular member,53.0
2020-06-02,Miami,indexed regular member,46.0
2020-06-03,Miami,indexed regular member,59.0
2020-06-04,Miami,indexed regular member,52.0
2020-06-05,Miami,indexed regular member,62.0
2020-06-06,Miami,indexed regular member,46.0
2020-06-07,Miami,indexed regular member,23.0
2020-06-08,Miami,indexed regular member,57.0
2020-06-09,Miami,indexed regular member,65.0
2020-06-10,Miami,indexed regular member,58.0
2020-06-11,Miami,indexed regular member,64.0
2020-06-12,Miami,indexed regular member,58.0
2020-06-13,Miami,indexed regular member,53.0
2020-06-14,Miami,indexed regular member,20.0
2020-06-15,Miami,indexed regular member,45.0
2020-06-16,Miami,indexed regular member,52.0
2020-06-17,Miami,indexed regular member,65.0
2020-06-18,Miami,indexed regular member,63.0
2020-06-19,Miami,indexed regular member,69.0
2020-06-20,Miami,indexed regular member,50.0
2020-06-21,Miami,indexed regular member,29.0
2020-06-22,Miami,indexed regular member,51.0
2020-06-23,Miami,indexed regular member,63.0
2020-06-24,Miami,indexed regular member,60.0
2020-06-25,Miami,indexed regular member,67.0
2020-06-26,Miami,indexed regular member,69.0
2020-06-27,Miami,indexed regular member,52.0
2020-06-28,Miami,indexed regular member,29.0
2020-06-29,Miami,indexed regular member,51.0
2020-06-30,Miami,indexed regular member,63.0
2020-07-01,Miami,indexed regular member,62.0
2020-07-02,Miami,indexed regular member,61.0
2020-07-03,Miami,indexed regular member,56.0
2020-07-04,Miami,indexed regular member,30.0
2020-07-05,Miami,indexed regular member,16.0
2020-07-06,Miami,indexed regular member,51.0
2020-07-07,Miami,indexed regular member,59.0
2020-07-08,Miami,indexed regular member,64.0
2020-07-09,Miami,indexed regular member,62.0
2020-07-10,Miami,indexed regular member,66.0
2020-07-11,Miami,indexed regular member,43.0
2020-07-12,Miami,indexed regular member,33.0
2020-07-13,Miami,indexed regular member,61.0
2020-07-14,Miami,indexed regular member,73.0
2020-07-15,Miami,indexed regular member,63.0
2020-07-16,Miami,indexed regular member,57.0
