date,location,source,value,class
2020-02-15,Miami,venues google,1.0,residential
2020-02-15,Miami,venues google,-5.0,retail_and_recreation
2020-02-15,Miami,venues google,-7.0,grocery_and_pharmacy
2020-02-15,Miami,venues google,-6.0,transit_stations
2020-02-15,Miami,venues google,-2.0,workplaces
2020-02-15,Miami,venues google,-18.0,parks
2020-02-16,Miami,venues google,0.0,residential
2020-02-16,Miami,venues google,1.0,retail_and_recreation
2020-02-16,Miami,venues google,1.0,grocery_and_pharmacy
2020-02-16,Miami,venues google,-2.0,transit_stations
2020-02-16,Miami,venues google,-1.0,workplaces
2020-02-16,Miami,venues google,3.0,parks
2020-02-17,Miami,venues google,6.0,residential
2020-02-17,Miami,venues google,2.0,retail_and_recreation
2020-02-17,Miami,venues google,0.0,grocery_and_pharmacy
2020-02-17,Miami,venues google,-8.0,transit_stations
2020-02-17,Miami,venues google,-22.0,workplaces
2020-02-17,Miami,venues google,24.0,parks
2020-02-18,Miami,venues google,0.0,residential
2020-02-18,Miami,venues google,1.0,retail_and_recreation
2020-02-18,Miami,venues google,1.0,grocery_and_pharmacy
2020-02-18,Miami,venues google,2.0,transit_stations
2020-02-18,Miami,venues google,2.0,workplaces
2020-02-18,Miami,venues google,8.0,parks
2020-02-19,Miami,venues google,0.0,residential
2020-02-19,Miami,venues google,0.0,retail_and_recreation
2020-02-19,Miami,venues google,0.0,grocery_and_pharmacy
2020-02-19,Miami,venues google,2.0,transit_stations
2020-02-19,Miami,venues google,2.0,workplaces
2020-02-19,Miami,venues google,5.0,parks
2020-02-20,Miami,venues google,0.0,residential
2020-02-20,Miami,venues google,-1.0,retail_and_recreation
2020-02-20,Miami,venues google,0.0,grocery_and_pharmacy
2020-02-20,Miami,venues google,1.0,transit_stations
2020-02-20,Miami,venues google,2.0,workplaces
2020-02-20,Miami,venues google,0.0,parks
2020-02-21,Miami,venues google,0.0,residential
2020-02-21,Miami,venues google,1.0,retail_and_recreation
2020-02-21,Miami,venues google,0.0,grocery_and_pharmacy
2020-02-21,Miami,venues google,-1.0,transit_stations
2020-02-21,Miami,venues google,3.0,workplaces
2020-02-21,Miami,venues google,-2.0,parks
2020-02-22,Miami,venues google,0.0,residential
2020-02-22,Miami,venues google,1.0,retail_and_recreation
2020-02-22,Miami,venues google,-2.0,grocery_and_pharmacy
2020-02-22,Miami,venues google,-3.0,transit_stations
2020-02-22,Miami,venues google,2.0,workplaces
2020-02-22,Miami,venues google,-6.0,parks
2020-02-23,Miami,venues google,0.0,residential
2020-02-23,Miami,venues google,3.0,retail_and_recreation
2020-02-23,Miami,venues google,1.0,grocery_and_pharmacy
2020-02-23,Miami,venues google,-2.0,transit_stations
2020-02-23,Miami,venues google,1.0,workplaces
2020-02-23,Miami,venues google,12.0,parks
2020-02-24,Miami,venues google,0.0,residential
2020-02-24,Miami,venues google,1.0,retail_and_recreation
2020-02-24,Miami,venues google,1.0,grocery_and_pharmacy
2020-02-24,Miami,venues google,-1.0,transit_stations
2020-02-24,Miami,venues google,2.0,workplaces
2020-02-24,Miami,venues google,9.0,parks
2020-02-25,Miami,venues google,0.0,residential
2020-02-25,Miami,venues google,1.0,retail_and_recreation
2020-02-25,Miami,venues google,1.0,grocery_and_pharmacy
2020-02-25,Miami,venues google,0.0,transit_stations
2020-02-25,Miami,venues google,2.0,workplaces
2020-02-25,Miami,venues google,7.0,parks
2020-02-26,Miami,venues google,0.0,residential
2020-02-26,Miami,venues google,1.0,retail_and_recreation
2020-02-26,Miami,venues google,-2.0,grocery_and_pharmacy
2020-02-26,Miami,venues google,1.0,transit_stations
2020-02-26,Miami,venues google,2.0,workplaces
2020-02-26,Miami,venues google,-15.0,parks
2020-02-27,Miami,venues google,0.0,residential
2020-02-27,Miami,venues google,4.0,retail_and_recreation
2020-02-27,Miami,venues google,5.0,grocery_and_pharmacy
2020-02-27,Miami,venues google,-1.0,transit_stations
2020-02-27,Miami,venues google,2.0,workplaces
2020-02-27,Miami,venues google,-7.0,parks
2020-02-28,Miami,venues google,-1.0,residential
2020-02-28,Miami,venues google,5.0,retail_and_recreation
2020-02-28,Miami,venues google,5.0,grocery_and_pharmacy
2020-02-28,Miami,venues google,-1.0,transit_stations
2020-02-28,Miami,venues google,3.0,workplaces
2020-02-28,Miami,venues google,-6.0,parks
2020-02-29,Miami,venues google,-1.0,residential
2020-02-29,Miami,venues google,4.0,retail_and_recreation
2020-02-29,Miami,venues google,2.0,grocery_and_pharmacy
2020-02-29,Miami,venues google,-1.0,transit_stations
2020-02-29,Miami,venues google,2.0,workplaces
2020-02-29,Miami,venues google,-2.0,parks
2020-03-01,Miami,venues google,0.0,residential
2020-03-01,Miami,venues google,4.0,retail_and_recreation
2020-03-01,Miami,venues google,4.0,grocery_and_pharmacy
2020-03-01,Miami,venues google,-1.0,transit_stations
2020-03-01,Miami,venues google,1.0,workplaces
2020-03-01,Miami,venues google,-4.0,parks
2020-03-02,Miami,venues google,0.0,residential
2020-03-02,Miami,venues google,4.0,retail_and_recreation
2020-03-02,Miami,venues google,7.0,grocery_and_pharmacy
2020-03-02,Miami,venues google,-1.0,transit_stations
2020-03-02,Miami,venues google,3.0,workplaces
2020-03-02,Miami,venues google,0.0,parks
2020-03-03,Miami,venues google,0.0,residential
